"",BBSF2.M.1.P.00000.TOT01.I.F.INV.CH.00000.F05200.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.INV.CH.00000.F05200.Z01.00_FLAGS
"",Public funds / Funds total / Investment fund shares / Switzerland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:41,
2011-03,127,
2011-04,125,
2011-05,128,
2011-06,132,
2011-07,138,
2011-08,135,
2011-09,129,
2011-10,137,
2011-11,127,
2011-12,106,
2012-01,139,
2012-02,136,
2012-03,101,
2012-04,108,
2012-05,101,
2012-06,111,
2012-07,122,
2012-08,138,
2012-09,151,
2012-10,151,
2012-11,145,
2012-12,112,
2013-01,123,
2013-02,116,
2013-03,118,
2013-04,99,
2013-05,103,
2013-06,84,
2013-07,93,
2013-08,98,
2013-09,83,
2013-10,88,
2013-11,76,
2013-12,70,
2014-01,75,
2014-02,86,
2014-03,80,
2014-04,78,
2014-05,78,
2014-06,79,
2014-07,78,
2014-08,94,
2014-09,72,
2014-10,66,
2014-11,74,
