"",BBK01.OEAA54N,BBK01.OEAA54N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:23,
2002-01,3.959,
2002-04,3.752,
2002-07,3.678,
2002-10,3.686,
2003-01,4.505,
2003-04,4.275,
2003-07,4.345,
2003-10,3.658,
2004-01,3.930,
2004-04,3.764,
2004-07,3.811,
2004-10,3.528,
2005-01,4.202,
2005-04,4.072,
2005-07,4.728,
2005-10,4.809,
2006-01,5.027,
2006-04,6.051,
2006-07,6.861,
2006-10,6.584,
2007-01,6.768,
2007-04,7.344,
2007-07,7.613,
2007-10,7.546,
2008-01,7.561,
2008-04,8.763,
2008-07,9.084,
2008-10,10.005,
2009-01,10.344,
2009-04,10.033,
2009-07,9.808,
2009-10,9.851,
2010-01,9.772,
2010-04,9.050,
2010-07,8.790,
2010-10,8.133,
2011-01,7.496,
2011-04,7.083,
2011-07,7.114,
2011-10,7.000,
2012-01,6.380,
2012-04,6.371,
2012-07,6.048,
2012-10,5.219,
2013-01,5.425,
2013-04,4.981,
2013-07,4.530,
2013-10,4.219,
2014-01,4.311,
2014-04,4.362,
2014-07,4.471,
