"",BBAI3.Q.DE.N.V.LE.F42B.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F42B.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Loans up to 5 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:46,
2005-10,17477,
2006-01,17288,
2006-04,17463,
2006-07,17882,
2006-10,18057,
2007-01,17861,
2007-04,18225,
2007-07,18677,
2007-10,19638,
2008-01,19017,
2008-04,18760,
2008-07,18891,
2008-10,19345,
2009-01,19645,
2009-04,19886,
2009-07,20070,
2009-10,20944,
2010-01,21201,
2010-04,21614,
2010-07,21777,
2010-10,21519,
2011-01,22539,
2011-04,22723,
2011-07,22823,
2011-10,23231,
2012-01,23484,
2012-04,23552,
2012-07,23711,
2012-10,23958,
2013-01,23969,
2013-04,23909,
2013-07,24407,
2013-10,24403,
2014-01,24303,
2014-04,24379,
2014-07,24291,
