"",BBK01.OEYB13N,BBK01.OEYB13N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:30,
2002-01,6.842,
2002-04,6.828,
2002-07,6.885,
2002-10,7.114,
2003-01,6.100,
2003-04,5.071,
2003-07,4.943,
2003-10,3.035,
2004-01,2.904,
2004-04,2.850,
2004-07,2.813,
2004-10,2.773,
2005-01,2.741,
2005-04,2.693,
2005-07,2.580,
2005-10,2.533,
2006-01,4.430,
2006-04,4.423,
2006-07,4.426,
2006-10,4.402,
2007-01,4.371,
2007-04,4.422,
2007-07,4.418,
2007-10,4.447,
2008-01,4.479,
2008-04,4.467,
2008-07,4.514,
2008-10,4.533,
2009-01,4.465,
2009-04,4.469,
2009-07,4.488,
2009-10,4.490,
2010-01,4.466,
2010-04,4.688,
2010-07,4.695,
2010-10,4.711,
2011-01,4.755,
2011-04,4.768,
2011-07,4.840,
2011-10,4.819,
2012-01,4.814,
2012-04,4.834,
2012-07,4.827,
2012-10,4.858,
2013-01,4.868,
2013-04,4.903,
2013-07,4.995,
2013-10,5.012,
2014-01,5.273,
2014-04,5.276,
2014-07,5.290,
