"",BBK01.CEHO3Q,BBK01.CEHO3Q_FLAGS
"",Other deposits (consolidated)  debtor: Monetary financial institutions                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:14:43,
1991-01,16.0,
1991-04,7.0,
1991-07,16.7,
1991-10,31.3,
1992-01,24.3,
1992-04,19.9,
1992-07,41.7,
1992-10,-1.4,
1993-01,26.1,
1993-04,21.9,
1993-07,16.9,
1993-10,51.3,
1994-01,28.7,
1994-04,8.8,
1994-07,16.9,
1994-10,17.8,
1995-01,40.4,
1995-04,24.8,
1995-07,29.1,
1995-10,20.6,
1996-01,40.2,
1996-04,2.8,
1996-07,11.2,
1996-10,22.0,
1997-01,52.3,
1997-04,19.4,
1997-07,8.8,
1997-10,34.9,
1998-01,38.6,
1998-04,16.3,
1998-07,32.5,
1998-10,42.9,
1999-01,18.4,
1999-04,1.2,
1999-07,37.9,
1999-10,77.6,
2000-01,3.7,
2000-04,0.8,
2000-07,21.8,
2000-10,47.5,
2001-01,74.2,
2001-04,-14.9,
2001-07,11.1,
2001-10,16.0,
2002-01,-25.5,
2002-04,-23.8,
2002-07,30.6,
2002-10,31.9,
2003-01,2.7,
2003-04,-21.2,
2003-07,0.6,
2003-10,35.7,
2004-01,-16.6,
2004-04,-36.4,
2004-07,32.0,
2004-10,93.0,
2005-01,-31.7,
2005-04,-20.5,
2005-07,20.5,
2005-10,24.0,
2006-01,16.9,
2006-04,-9.3,
2006-07,46.4,
2006-10,-5.6,
2007-01,23.6,
2007-04,22.1,
2007-07,93.0,
2007-10,86.3,
2008-01,21.4,
2008-04,9.8,
2008-07,46.1,
2008-10,-57.3,
2009-01,-121.8,
2009-04,-18.8,
2009-07,-64.6,
2009-10,-46.5,
2010-01,-42.6,
2010-04,7.5,
2010-07,40.3,
2010-10,23.7,
2011-01,-56.3,
2011-04,-3.6,
2011-07,50.0,
2011-10,-34.3,
2012-01,80.3,
2012-04,-24.4,
2012-07,-60.6,
2012-10,-109.8,
2013-01,-20.7,
2013-04,-24.1,
2013-07,-104.6,
2013-10,-30.9,
2014-01,-3.3,
