"",BBFB1.Q.N.DE.A2.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.A2.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:22,
1991-01,138.576,
1991-04,326.384,
1991-07,-2266.486,
1991-10,1772.013,
1992-01,506.945,
1992-04,-2799.011,
1992-07,-349.334,
1992-10,-2068.872,
1993-01,1766.525,
1993-04,4078.286,
1993-07,2804.300,
1993-10,2966.292,
1994-01,4486.749,
1994-04,25.446,
1994-07,-610.498,
1994-10,2181.797,
1995-01,495.399,
1995-04,3113.119,
1995-07,3685.329,
1995-10,6994.504,
1996-01,67.169,
1996-04,2166.725,
1996-07,4773.667,
1996-10,8370.074,
1997-01,11843.709,
1997-04,3974.531,
1997-07,4151.198,
1997-10,4271.221,
1998-01,14392.950,
1998-04,4422.937,
1998-07,2504.836,
1998-10,21839.112,
1999-01,10490.249,
1999-04,15631.583,
1999-07,4751.862,
1999-10,17581.489,
2000-01,-466.963,
2000-04,2101.172,
2000-07,-5428.263,
2000-10,12881.372,
2001-01,40371.068,
2001-04,45070.404,
2001-07,4512.137,
2001-10,-19786.718,
2002-01,4197.789,
2002-04,1970.000,
2002-07,-12936.915,
2002-10,-16147.684,
2003-01,1882.786,
2003-04,2858.153,
2003-07,6322.477,
2003-10,-8504.815,
2004-01,-3836.628,
2004-04,-9848.533,
2004-07,-5169.800,
2004-10,-4514.569,
2005-01,4873.982,
2005-04,-1150.159,
2005-07,-1314.460,
2005-10,-8898.291,
2006-01,773.100,
2006-04,1996.417,
2006-07,739.298,
2006-10,5988.623,
2007-01,-4389.048,
2007-04,11083.382,
2007-07,10802.495,
2007-10,-4322.507,
2008-01,11540.447,
2008-04,13302.295,
2008-07,-19860.803,
2008-10,6143.266,
2009-01,13729.694,
2009-04,-2314.263,
2009-07,-11454.901,
2009-10,-22198.700,
2010-01,-2853.835,
2010-04,12443.583,
2010-07,-1574.471,
2010-10,5589.079,
2011-01,2058.344,
2011-04,-343.207,
2011-07,-2186.284,
2011-10,-1712.275,
2012-01,5058.520,
2012-04,1256.123,
2012-07,16313.903,
2012-10,-7077.228,
2013-01,-2465.796,
2013-04,-2756.187,
2013-07,-12334.942,
2013-10,-14249.677,
2014-01,-6864.451,Provisional value
2014-04,-3551.065,Provisional value
2014-07,3130.774,Provisional value
2014-10,-11137.951,Provisional value
