"",BBK01.OEAE27P,BBK01.OEAE27P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:13,
2002-01,0.047,
2002-04,0.050,
2002-07,0.048,
2002-10,0.035,
2003-01,0.037,
2003-04,0.039,
2003-07,0.038,
2003-10,0.039,
2004-01,0.037,
2004-04,0.036,
2004-07,0.036,
2004-10,0.028,
2005-01,0.030,
2005-04,0.030,
2005-07,0.025,
2005-10,0.027,
2006-01,0.023,
2006-04,0.023,
2006-07,0.033,
2006-10,0.035,
2007-01,0.025,
2007-04,0.025,
2007-07,0.033,
2007-10,0.037,
2008-01,0.037,
2008-04,0.039,
2008-07,0.038,
2008-10,0.041,
2009-01,0.032,
2009-04,0.032,
2009-07,0.030,
2009-10,0.032,
2010-01,0.030,
2010-04,0.038,
2010-07,0.040,
2010-10,0.029,
2011-01,0.031,
2011-04,0.031,
2011-07,0.030,
2011-10,0.030,
2012-01,0.028,
2012-04,0.028,
2012-07,0.028,
2012-10,0.026,
2013-01,0.027,
2013-04,0.026,
2013-07,0.022,
2013-10,0.022,
2014-01,0.016,
2014-04,0.018,
2014-07,0.017,
