"",BBK01.OEAH80O,BBK01.OEAH80O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:17,
2002-01,0.085,
2002-04,0.097,
2002-07,0.102,
2002-10,0.092,
2003-01,0.081,
2003-04,0.078,
2003-07,0.079,
2003-10,0.079,
2004-01,0.071,
2004-04,0.068,
2004-07,0.074,
2004-10,0.083,
2005-01,0.086,
2005-04,0.088,
2005-07,0.085,
2005-10,0.085,
2006-01,0.084,
2006-04,0.080,
2006-07,0.079,
2006-10,0.079,
2007-01,0.078,
2007-04,0.071,
2007-07,0.060,
2007-10,0.058,
2008-01,0.057,
2008-04,0.056,
2008-07,0.056,
2008-10,0.054,
2009-01,0.055,
2009-04,0.049,
2009-07,0.052,
2009-10,0.064,
2010-01,0.054,
2010-04,0.052,
2010-07,0.053,
2010-10,0.053,
2011-01,0.053,
2011-04,0.053,
2011-07,0.052,
2011-10,0.034,
2012-01,0.032,
2012-04,0.032,
2012-07,0.030,
2012-10,0.031,
2013-01,0.031,
2013-04,0.031,
2013-07,0.032,
2013-10,0.030,
2014-01,0.028,
2014-04,0.028,
2014-07,0.023,
