"",BBK01.OEAF01N,BBK01.OEAF01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:38,
2002-01,172.363,
2002-04,173.746,
2002-07,176.608,
2002-10,179.600,
2003-01,179.483,
2003-04,178.738,
2003-07,181.423,
2003-10,183.248,
2004-01,182.576,
2004-04,184.646,
2004-07,187.342,
2004-10,186.698,
2005-01,191.799,
2005-04,193.556,
2005-07,193.534,
2005-10,196.802,
2006-01,201.427,
2006-04,202.157,
2006-07,203.994,
2006-10,205.019,
2007-01,203.965,
2007-04,205.145,
2007-07,206.463,
2007-10,206.486,
2008-01,206.318,
2008-04,207.816,
2008-07,204.732,
2008-10,204.858,
2009-01,203.810,
2009-04,204.585,
2009-07,206.004,
2009-10,205.938,
2010-01,206.003,
2010-04,206.135,
2010-07,208.038,
2010-10,208.542,
2011-01,208.827,
2011-04,210.213,
2011-07,212.002,
2011-10,212.318,
2012-01,212.409,
2012-04,207.894,
2012-07,209.462,
2012-10,211.322,
2013-01,211.453,
2013-04,212.495,
2013-07,214.082,
2013-10,214.513,
2014-01,214.825,
2014-04,215.648,
2014-07,217.216,
