"",BBK01.OEAE21Q,BBK01.OEAE21Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:26,
2002-01,0.147,
2002-04,0.163,
2002-07,0.179,
2002-10,0.266,
2003-01,0.323,
2003-04,0.334,
2003-07,0.348,
2003-10,0.357,
2004-01,0.368,
2004-04,0.311,
2004-07,0.349,
2004-10,0.349,
2005-01,0.390,
2005-04,0.365,
2005-07,0.214,
2005-10,0.134,
2006-01,0.156,
2006-04,0.119,
2006-07,0.113,
2006-10,0.154,
2007-01,0.156,
2007-04,0.175,
2007-07,0.211,
2007-10,0.255,
2008-01,0.197,
2008-04,0.197,
2008-07,0.222,
2008-10,0.177,
2009-01,0.155,
2009-04,0.154,
2009-07,0.146,
2009-10,0.125,
2010-01,0.189,
2010-04,0.202,
2010-07,0.146,
2010-10,0.161,
2011-01,0.164,
2011-04,0.157,
2011-07,0.049,
2011-10,0.055,
2012-01,0.050,
2012-04,0.145,
2012-07,0.147,
2012-10,0.265,
2013-01,0.219,
2013-04,0.226,
2013-07,0.220,
2013-10,0.120,
2014-01,0.103,
2014-04,0.095,
2014-07,0.087,
