"",BBK01.OEAC50N,BBK01.OEAC50N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:59,
2002-01,17.619,
2002-04,17.471,
2002-07,17.437,
2002-10,17.452,
2003-01,17.306,
2003-04,17.147,
2003-07,17.060,
2003-10,16.618,
2004-01,16.340,
2004-04,16.311,
2004-07,16.017,
2004-10,15.674,
2005-01,15.352,
2005-04,15.436,
2005-07,15.439,
2005-10,15.295,
2006-01,15.291,
2006-04,15.360,
2006-07,15.419,
2006-10,15.383,
2007-01,15.484,
2007-04,15.503,
2007-07,15.361,
2007-10,15.623,
2008-01,15.688,
2008-04,15.689,
2008-07,15.808,
2008-10,15.742,
2009-01,15.556,
2009-04,15.783,
2009-07,15.880,
2009-10,15.445,
2010-01,15.881,
2010-04,16.031,
2010-07,16.411,
2010-10,16.379,
2011-01,16.336,
2011-04,16.167,
2011-07,16.238,
2011-10,16.250,
2012-01,16.260,
2012-04,14.780,
2012-07,14.736,
2012-10,14.625,
2013-01,14.716,
2013-04,14.636,
2013-07,14.695,
2013-10,14.565,
2014-01,14.552,
2014-04,14.508,
2014-07,14.486,
