"",BBSF2.M.1.S.00000.IMM01.I.F.BGG.U3.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.BGG.U3.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Participations in real estate companies / EU member states not belonging to the Euro area,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:48,
2009-09,940,
2009-10,961,
2009-11,953,
2009-12,1030,
2010-01,1055,
2010-02,1057,
2010-03,1063,
2010-04,1070,
2010-05,1077,
2010-06,1113,
2010-07,1162,
2010-08,1187,
2010-09,1185,
2010-10,1206,
2010-11,1234,
2010-12,1212,
2011-01,1238,
2011-02,1235,
2011-03,1231,
2011-04,1252,
2011-05,1249,
2011-06,1200,
2011-07,1230,
2011-08,1217,
2011-09,1233,
2011-10,1264,
2011-11,1295,
2011-12,1249,
2012-01,1260,
2012-02,1276,
2012-03,1292,
2012-04,1318,
2012-05,1334,
2012-06,1362,
2012-07,1407,
2012-08,1434,
2012-09,1403,
2012-10,1438,
2012-11,1427,
2012-12,1403,
2013-01,1378,
2013-02,1379,
2013-03,1407,
2013-04,1356,
2013-05,1403,
2013-06,1106,
2013-07,1172,
2013-08,1173,
2013-09,1168,
2013-10,1150,
2013-11,1156,
2013-12,1156,
2014-01,1163,
2014-02,1175,
2014-03,1167,
2014-04,1241,
2014-05,1245,
2014-06,1494,
2014-07,1297,
2014-08,1268,
2014-09,1611,
2014-10,1593,
2014-11,1607,
