"",BBK01.OEAM03K,BBK01.OEAM03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:24,
2002-01,6.001,
2002-04,6.227,
2002-07,4.997,
2002-10,5.642,
2003-01,4.272,
2003-04,4.179,
2003-07,4.589,
2003-10,4.801,
2004-01,3.855,
2004-04,4.251,
2004-07,5.281,
2004-10,3.512,
2005-01,2.641,
2005-04,1.963,
2005-07,2.089,
2005-10,1.878,
2006-01,2.521,
2006-04,3.115,
2006-07,3.344,
2006-10,3.297,
2007-01,3.243,
2007-04,3.313,
2007-07,2.518,
2007-10,2.669,
2008-01,2.347,
2008-04,3.092,
2008-07,3.468,
2008-10,2.797,
2009-01,1.708,
2009-04,2.035,
2009-07,2.035,
2009-10,2.214,
2010-01,1.818,
2010-04,1.931,
2010-07,1.750,
2010-10,1.464,
2011-01,1.399,
2011-04,1.741,
2011-07,1.753,
2011-10,1.592,
2012-01,1.515,
2012-04,1.876,
2012-07,1.394,
2012-10,1.566,
2013-01,1.850,
2013-04,2.535,
2013-07,2.417,
2013-10,2.187,
2014-01,1.775,
2014-04,2.372,
2014-07,2.513,
