"",BBK01.OELB01G,BBK01.OELB01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:12,
2002-01,72.384,
2002-04,72.378,
2002-07,72.356,
2002-10,72.392,
2003-01,71.243,
2003-04,71.154,
2003-07,71.265,
2003-10,71.569,
2004-01,70.847,
2004-04,71.078,
2004-07,71.308,
2004-10,69.738,
2005-01,69.304,
2005-04,69.643,
2005-07,70.206,
2005-10,71.036,
2006-01,71.161,
2006-04,71.951,
2006-07,72.591,
2006-10,73.149,
2007-01,73.157,
2007-04,73.795,
2007-07,74.495,
2007-10,75.710,
2008-01,75.785,
2008-04,76.235,
2008-07,77.082,
2008-10,77.470,
2009-01,77.423,
2009-04,77.955,
2009-07,78.711,
2009-10,79.344,
2010-01,79.265,
2010-04,80.213,
2010-07,80.917,
2010-10,81.554,
2011-01,82.090,
2011-04,83.070,
2011-07,83.771,
2011-10,84.458,
2012-01,85.045,
2012-04,88.804,
2012-07,90.476,
2012-10,91.417,
2013-01,92.007,
2013-04,93.155,
2013-07,94.495,
2013-10,95.431,
2014-01,95.962,
2014-04,97.085,
2014-07,98.225,
