"",BBSF2.M.1.S.I1252.IMM01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.IMM01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Net sales receipts / Other insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:12,
2009-09,148,
2009-10,22,
2009-11,60,
2009-12,43,
2010-01,93,
2010-02,-13,
2010-03,20,
2010-04,-47,
2010-05,28,
2010-06,7,
2010-07,34,
2010-08,128,
2010-09,24,
2010-10,29,
2010-11,133,
2010-12,96,
2011-01,49,
2011-02,46,
2011-03,87,
2011-04,-17,
2011-05,-10,
2011-06,7,
2011-07,-18,
2011-08,-69,
2011-09,51,
2011-10,17,
2011-11,-32,
2011-12,-27,
2012-01,-34,
2012-02,22,
2012-03,0,
2012-04,-7,
2012-05,2,
2012-06,161,
2012-07,37,
2012-08,-20,
2012-09,7,
2012-10,47,
2012-11,1,
2012-12,114,
2013-01,68,
2013-02,4,
2013-03,124,
2013-04,7,
2013-05,-397,
2013-06,59,
2013-07,11,
2013-08,38,
2013-09,-60,
2013-10,52,
2013-11,122,
2013-12,109,
2014-01,-13,
2014-02,-61,
2014-03,1,
2014-04,-43,
2014-05,25,
2014-06,224,
2014-07,122,
2014-08,-88,
2014-09,-5,
2014-10,196,
2014-11,-10,
