"",BBFN1.M.DE.N.1.A.W1.S1P.F0.S.NV00.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.S.NV00.EUR.BGA.X001.D_FLAGS
2007-08,88.678,
2007-09,93.890,
2007-10,91.952,
2007-11,87.811,
2007-12,88.838,
2008-01,85.840,
2008-02,87.858,
2008-03,90.014,
2008-04,93.358,
2008-05,94.989,
2008-06,100.590,
2008-07,102.025,
2008-08,99.713,
2008-09,98.486,
2008-10,100.564,
2008-11,100.728,
2008-12,100.791,
2009-01,100.194,
2009-02,97.656,
2009-03,102.361,
2009-04,102.232,
2009-05,105.228,
2009-06,104.007,
2009-07,103.647,
2009-08,102.965,
2009-09,103.649,
2009-10,105.636,
2009-11,106.053,
2009-12,108.558,
2010-01,107.395,
2010-02,108.857,
2010-03,111.040,
2010-04,108.537,
2010-05,113.155,
2010-06,116.379,
2010-07,115.571,
2010-08,114.323,
2010-09,117.140,
2010-10,116.179,
2010-11,116.584,
2010-12,114.356,
2011-01,115.911,
2011-02,115.007,
2011-03,119.128,
2011-04,121.171,
2011-05,120.479,
2011-06,120.291,
2011-07,121.898,
2011-08,121.964,
2011-09,121.687,
2011-10,121.560,
2011-11,117.772,
2011-12,118.223,
2012-01,119.776,
2012-02,120.441,
2012-03,124.225,
2012-04,124.800,
2012-05,124.777,
2012-06,127.347,
2012-07,126.802,
2012-08,126.904,
2012-09,122.816,
2012-10,121.513,
2012-11,120.792,
2012-12,126.131,
2013-01,123.363,
2013-02,122.151,
2013-03,129.602,
2013-04,131.453,
2013-05,132.674,
2013-06,135.955,
2013-07,127.270,
2013-08,126.102,
2013-09,128.596,
2013-10,124.302,
2013-11,123.896,
2013-12,126.402,
2014-01,128.328,
2014-02,132.178,
2014-03,132.192,
2014-04,137.386,
2014-05,135.497,
2014-06,133.675,
2014-07,135.979,
2014-08,141.231,
2014-09,140.536,
2014-10,138.552,
2014-11,134.722,
2014-12,139.453,
"","General: From January 1999, including national currencies of the euro-area member states.",
