"",BBSF2.M.1.T.00000.GEM01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.GEM01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Funds total / Mixed securities funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:35,
2009-09,72024,
2009-10,72545,
2009-11,73447,
2009-12,73341,
2010-01,78191,
2010-02,78766,
2010-03,79014,
2010-04,72773,
2010-05,71792,
2010-06,72616,
2010-07,73923,
2010-08,75626,
2010-09,74959,
2010-10,76951,
2010-11,73758,
2010-12,75369,
2011-01,75140,
2011-02,75532,
2011-03,75908,
2011-04,75862,
2011-05,76259,
2011-06,75621,
2011-07,75324,
2011-08,74485,
2011-09,72695,
2011-10,71897,
2011-11,68038,
2011-12,69039,
2012-01,67630,
2012-02,72290,
2012-03,73406,
2012-04,73414,
2012-05,73590,
2012-06,72483,
2012-07,74116,
2012-08,75045,
2012-09,76013,
2012-10,76859,
2012-11,79953,
2012-12,82160,
2013-01,84700,
2013-02,86168,
2013-03,88250,
2013-04,90610,
2013-05,91216,
2013-06,90952,
2013-07,92420,
2013-08,92385,
2013-09,93382,
2013-10,93086,
2013-11,92658,
2013-12,92737,
2014-01,95116,
2014-02,96716,
2014-03,97721,
2014-04,98459,
2014-05,100179,
2014-06,99821,
2014-07,101081,
2014-08,106510,
2014-09,106046,
2014-10,105296,
2014-11,106154,
