"",BBK01.OUE249,BBK01.OUE249_FLAGS
"",Time deposits of resident households / for up and including 1 year / Branches of foreign banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:19:57,
1999-01,0.145,
1999-02,0.158,
1999-03,0.154,
1999-04,0.152,
1999-05,0.147,
1999-06,0.147,
1999-07,0.139,
1999-08,0.143,
1999-09,0.153,
1999-10,0.169,
1999-11,0.186,
1999-12,0.204,
2000-01,0.224,
2000-02,0.251,
2000-03,0.270,
2000-04,0.307,
2000-05,0.350,
2000-06,0.414,
2000-07,0.414,
2000-08,0.448,
2000-09,0.513,
2000-10,0.546,
2000-11,0.581,
2000-12,0.604,
2001-01,0.653,
2001-02,0.702,
2001-03,0.764,
2001-04,0.822,
2001-05,0.856,
2001-06,0.887,
2001-07,0.939,
2001-08,0.961,
2001-09,0.991,
2001-10,1.048,
2001-11,1.061,
2001-12,1.067,
2002-01,1.077,
2002-02,1.054,
2002-03,1.012,
2002-04,0.980,
2002-05,0.930,
2002-06,0.891,
2002-07,0.844,
2002-08,0.825,
2002-09,0.803,
2002-10,0.779,
2002-11,0.761,
2002-12,0.757,
2003-01,0.779,
2003-02,0.831,
2003-03,0.839,
2003-04,0.895,
2003-05,0.951,
2003-06,0.973,
2003-07,1.000,
2003-08,1.013,
2003-09,0.982,
2003-10,0.963,
2003-11,0.940,
2003-12,0.934,
2004-01,0.896,
2004-02,0.894,
2004-03,1.012,
2004-04,0.995,
2004-05,0.972,
2004-06,0.567,
2004-07,0.578,
2004-08,0.588,
2004-09,0.591,
2004-10,0.590,
2004-11,0.651,
2004-12,0.659,
2005-01,0.685,
2005-02,0.720,
2005-03,0.737,
2005-04,0.744,
2005-05,0.750,
2005-06,0.736,
2005-07,0.713,
2005-08,0.700,
2005-09,0.682,
2005-10,0.671,
2005-11,0.653,
2005-12,0.645,
2006-01,0.643,
2006-02,0.668,
2006-03,0.672,
2006-04,0.673,
2006-05,0.665,
2006-06,0.657,
2006-07,0.687,
2006-08,0.716,
2006-09,0.734,
2006-10,0.767,
2006-11,0.792,
2006-12,0.814,
2007-01,0.914,
2007-02,0.975,
2007-03,0.954,
2007-04,0.991,
2007-05,0.998,
2007-06,1.077,
2007-07,1.072,
2007-08,1.032,
2007-09,1.091,
2007-10,1.086,
2007-11,1.094,
2007-12,1.118,
2008-01,1.123,
2008-02,1.191,
2008-03,1.362,
2008-04,1.492,
2008-05,1.509,
2008-06,1.584,
2008-07,1.676,
2008-08,1.841,
2008-09,1.952,
2008-10,2.085,
2008-11,2.279,
2008-12,2.565,
2009-01,2.502,
2009-02,2.486,
2009-03,2.457,
2009-04,2.457,
2009-05,2.514,
2009-06,2.521,
2009-07,2.472,
2009-08,2.479,
2009-09,2.358,
2009-10,2.142,
2009-11,2.028,
2009-12,1.850,
2010-01,1.724,
2010-02,1.669,
2010-03,1.605,
2010-04,1.530,
2010-05,1.453,
2010-06,1.433,
2010-07,1.426,
2010-08,1.418,
2010-09,1.392,
2010-10,1.397,
2010-11,1.370,
2010-12,1.358,
2011-01,1.436,
2011-02,1.505,
2011-03,1.637,
2011-04,1.705,
2011-05,1.752,
2011-06,1.838,
2011-07,1.960,
2011-08,2.076,
2011-09,2.138,
2011-10,2.194,
2011-11,2.345,
2011-12,2.512,
2012-01,2.653,
2012-02,2.828,
2012-03,2.993,
2012-04,3.261,
2012-05,3.520,
2012-06,3.720,
2012-07,3.997,
2012-08,4.180,
2012-09,4.626,
2012-10,4.813,
2012-11,4.981,
2012-12,5.360,
2013-01,5.602,
2013-02,5.962,
2013-03,6.024,
2013-04,6.244,
2013-05,6.331,
2013-06,6.268,
2013-07,6.313,
2013-08,6.337,
2013-09,6.427,
2013-10,6.549,
2013-11,7.031,
2013-12,6.959,
2014-01,7.495,
2014-02,7.730,
2014-03,7.885,
2014-04,7.864,
2014-05,7.877,
2014-06,8.039,
2014-07,8.083,
2014-08,8.141,
2014-09,8.250,
2014-10,8.209,
2014-11,8.501,
2014-12,8.506,Provisional value
