"",BBK01.OEAF22I,BBK01.OEAF22I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:38,
2002-01,1.458,
2002-04,1.547,
2002-07,1.607,
2002-10,1.495,
2003-01,1.501,
2003-04,1.894,
2003-07,1.354,
2003-10,1.314,
2004-01,1.477,
2004-04,1.509,
2004-07,1.502,
2004-10,1.501,
2005-01,1.677,
2005-04,1.680,
2005-07,1.751,
2005-10,1.773,
2006-01,1.746,
2006-04,1.776,
2006-07,1.766,
2006-10,1.744,
2007-01,1.703,
2007-04,1.731,
2007-07,1.736,
2007-10,1.702,
2008-01,1.680,
2008-04,1.888,
2008-07,1.901,
2008-10,2.039,
2009-01,2.052,
2009-04,2.059,
2009-07,2.041,
2009-10,2.159,
2010-01,2.141,
2010-04,2.188,
2010-07,2.106,
2010-10,2.053,
2011-01,2.061,
2011-04,2.004,
2011-07,1.985,
2011-10,1.625,
2012-01,1.600,
2012-04,1.540,
2012-07,1.467,
2012-10,1.462,
2013-01,1.402,
2013-04,1.387,
2013-07,1.389,
2013-10,1.366,
2014-01,1.363,
2014-04,1.214,
2014-07,1.205,
