"",BBFB1.Q.N.DE.PT.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:34,
1991-01,353.092,
1991-04,592.252,
1991-07,351.364,
1991-10,217.045,
1992-01,24.923,
1992-04,120.898,
1992-07,-776.835,
1992-10,-280.691,
1993-01,304.204,
1993-04,-201.835,
1993-07,739.658,
1993-10,234.970,
1994-01,-90.596,
1994-04,230.349,
1994-07,-49.308,
1994-10,108.592,
1995-01,-662.999,
1995-04,402.555,
1995-07,-164.154,
1995-10,742.239,
1996-01,685.353,
1996-04,120.711,
1996-07,27.458,
1996-10,-210.219,
1997-01,565.638,
1997-04,553.102,
1997-07,286.619,
1997-10,375.835,
1998-01,1217.162,
1998-04,-243.041,
1998-07,488.724,
1998-10,1074.479,
1999-01,1467.784,
1999-04,-766.284,
1999-07,448.258,
1999-10,-1201.815,
2000-01,763.296,
2000-04,3288.409,
2000-07,-577.220,
2000-10,-1771.331,
2001-01,1548.858,
2001-04,-252.952,
2001-07,226.183,
2001-10,1531.659,
2002-01,477.399,
2002-04,324.442,
2002-07,-930.606,
2002-10,-458.500,
2003-01,701.162,
2003-04,1191.509,
2003-07,1176.706,
2003-10,-2214.713,
2004-01,3166.866,
2004-04,-119.777,
2004-07,-1682.077,
2004-10,-391.837,
2005-01,120.314,
2005-04,-1798.110,
2005-07,1842.681,
2005-10,-159.690,
2006-01,332.794,
2006-04,-374.149,
2006-07,961.590,
2006-10,1639.399,
2007-01,828.050,
2007-04,1079.056,
2007-07,3121.375,
2007-10,-1241.458,
2008-01,547.331,
2008-04,1489.248,
2008-07,666.693,
2008-10,-4177.233,
2009-01,-1595.464,
2009-04,90.251,
2009-07,451.027,
2009-10,8.834,
2010-01,-158.508,
2010-04,-441.535,
2010-07,43.527,
2010-10,-39.347,
2011-01,-223.742,
2011-04,81.944,
2011-07,-279.458,
2011-10,-903.226,
2012-01,395.032,
2012-04,269.534,
2012-07,675.909,
2012-10,-235.846,
2013-01,-201.102,
2013-04,-264.634,
2013-07,-302.771,
2013-10,-43.054,
2014-01,30.744,Provisional value
2014-04,-262.884,Provisional value
2014-07,444.993,Provisional value
2014-10,-988.925,Provisional value
