"",BBK01.OEAD35M,BBK01.OEAD35M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:20,
2002-01,0.818,
2002-04,0.805,
2002-07,0.782,
2002-10,0.762,
2003-01,0.754,
2003-04,0.737,
2003-07,0.741,
2003-10,0.740,
2004-01,0.713,
2004-04,0.715,
2004-07,0.702,
2004-10,0.704,
2005-01,0.698,
2005-04,0.697,
2005-07,0.681,
2005-10,0.718,
2006-01,0.694,
2006-04,0.691,
2006-07,0.692,
2006-10,0.658,
2007-01,0.635,
2007-04,0.646,
2007-07,0.656,
2007-10,0.654,
2008-01,0.662,
2008-04,0.686,
2008-07,0.694,
2008-10,0.700,
2009-01,0.690,
2009-04,0.686,
2009-07,0.684,
2009-10,0.650,
2010-01,0.726,
2010-04,0.779,
2010-07,0.771,
2010-10,0.725,
2011-01,0.759,
2011-04,0.766,
2011-07,0.821,
2011-10,0.817,
2012-01,0.845,
2012-04,0.850,
2012-07,0.850,
2012-10,0.853,
2013-01,0.838,
2013-04,0.765,
2013-07,0.737,
2013-10,0.767,
2014-01,0.748,
2014-04,0.747,
2014-07,0.753,
