"",BBK01.CEL00I,BBK01.CEL00I_FLAGS
"",Acquisition of financial assets total                                    debtor: Total            creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:33,
1999-01,46.8,
1999-04,41.6,
1999-07,25.3,
1999-10,39.3,
2000-01,38.3,
2000-04,31.8,
2000-07,20.7,
2000-10,28.1,
2001-01,40.8,
2001-04,24.6,
2001-07,24.8,
2001-10,28.5,
2002-01,39.5,
2002-04,21.4,
2002-07,23.2,
2002-10,32.8,
2003-01,49.7,
2003-04,32.3,
2003-07,29.2,
2003-10,31.4,
2004-01,43.4,
2004-04,32.9,
2004-07,29.8,
2004-10,28.3,
2005-01,45.4,
2005-04,32.0,
2005-07,28.8,
2005-10,31.3,
2006-01,48.4,
2006-04,30.8,
2006-07,27.5,
2006-10,24.3,
2007-01,45.7,
2007-04,27.1,
2007-07,18.9,
2007-10,23.5,
2008-01,44.0,
2008-04,31.6,
2008-07,22.1,
2008-10,25.0,
2009-01,49.5,
2009-04,36.3,
2009-07,30.8,
2009-10,29.9,
2010-01,51.4,
2010-04,38.7,
2010-07,31.5,
2010-10,32.8,
2011-01,46.4,
2011-04,34.1,
2011-07,29.4,
2011-10,34.0,
2012-01,49.6,
2012-04,38.6,
2012-07,30.0,
2012-10,35.1,
2013-01,47.1,
2013-04,37.0,
2013-07,31.8,
2013-10,30.7,
2014-01,48.5,
2014-04,37.5,
2014-07,34.7,
