"",BBK01.OEYM01L,BBK01.OEYM01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:32,
2002-01,1.568,
2002-04,1.524,
2002-07,1.175,
2002-10,1.086,
2003-01,1.115,
2003-04,2.366,
2003-07,1.238,
2003-10,1.422,
2004-01,1.583,
2004-04,1.585,
2004-07,1.888,
2004-10,2.168,
2005-01,2.348,
2005-04,2.707,
2005-07,2.762,
2005-10,3.176,
2006-01,2.615,
2006-04,3.216,
2006-07,3.265,
2006-10,3.176,
2007-01,3.306,
2007-04,3.671,
2007-07,3.093,
2007-10,3.400,
2008-01,3.423,
2008-04,3.909,
2008-07,4.078,
2008-10,3.498,
2009-01,3.384,
2009-04,3.281,
2009-07,2.229,
2009-10,2.452,
2010-01,1.761,
2010-04,1.798,
2010-07,2.302,
2010-10,1.973,
2011-01,2.495,
2011-04,3.832,
2011-07,4.920,
2011-10,3.233,
2012-01,2.595,
2012-04,2.691,
2012-07,3.541,
2012-10,3.661,
2013-01,2.618,
2013-04,2.868,
2013-07,3.187,
2013-10,4.882,
2014-01,3.659,
2014-04,2.895,
2014-07,3.191,
