"",BBK01.XS8836,BBK01.XS8836_FLAGS
"",Exports / Product Classification for Production Statistics from 2002 / 24 Chemical products / Seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-28 07:39:10,
1995-01,4.20,
1995-02,4.27,
1995-03,4.05,
1995-04,4.39,
1995-05,4.12,
1995-06,4.71,
1995-07,4.17,
1995-08,4.14,
1995-09,4.34,
1995-10,4.24,
1995-11,4.20,
1995-12,4.09,
1996-01,4.28,
1996-02,4.17,
1996-03,4.25,
1996-04,4.38,
1996-05,4.51,
1996-06,4.33,
1996-07,4.30,
1996-08,4.33,
1996-09,4.47,
1996-10,4.63,
1996-11,4.49,
1996-12,4.48,
1997-01,4.69,
1997-02,4.64,
1997-03,4.88,
1997-04,4.79,
1997-05,5.06,
1997-06,5.09,
1997-07,5.09,
1997-08,5.15,
1997-09,5.11,
1997-10,5.08,
1997-11,5.45,
1997-12,5.56,
1998-01,5.59,
1998-02,5.18,
1998-03,5.47,
1998-04,5.50,
1998-05,5.26,
1998-06,5.23,
1998-07,5.28,
1998-08,4.69,
1998-09,5.59,
1998-10,4.86,
1998-11,5.05,
1998-12,5.14,
1999-01,4.91,
1999-02,5.67,
1999-03,5.03,
1999-04,5.07,
1999-05,5.32,
1999-06,5.28,
1999-07,5.50,
1999-08,5.48,
1999-09,5.39,
1999-10,5.61,
1999-11,6.02,
1999-12,6.02,
2000-01,5.50,
2000-02,6.02,
2000-03,6.63,
2000-04,5.92,
2000-05,6.05,
2000-06,6.35,
2000-07,6.45,
2000-08,6.34,
2000-09,6.55,
2000-10,7.17,
2000-11,6.70,
2000-12,6.64,
2001-01,6.65,
2001-02,7.03,
2001-03,6.56,
2001-04,6.81,
2001-05,7.38,
2001-06,6.86,
2001-07,6.89,
2001-08,7.13,
2001-09,6.80,
2001-10,6.96,
2001-11,6.66,
2001-12,6.96,
2002-01,6.41,
2002-02,6.62,
2002-03,7.02,
2002-04,6.98,
2002-05,6.14,
2002-06,7.03,
2002-07,6.73,
2002-08,7.00,
2002-09,6.68,
2002-10,6.95,
2002-11,7.08,
2002-12,6.85,
2003-01,7.33,
2003-02,7.03,
2003-03,7.09,
2003-04,7.05,
2003-05,6.83,
2003-06,7.11,
2003-07,6.98,
2003-08,7.39,
2003-09,8.10,
2003-10,7.17,
2003-11,7.22,
2003-12,7.23,
2004-01,7.77,
2004-02,7.57,
2004-03,7.78,
2004-04,8.02,
2004-05,8.00,
2004-06,8.03,
2004-07,7.91,
2004-08,8.01,
2004-09,8.14,
2004-10,8.26,
2004-11,8.22,
2004-12,8.11,
2005-01,8.46,
2005-02,8.47,
2005-03,8.38,
2005-04,8.34,
2005-05,8.52,
2005-06,8.55,
2005-07,8.67,
2005-08,8.74,
2005-09,9.23,
2005-10,9.09,
2005-11,8.84,
2005-12,9.23,
2006-01,9.16,
2006-02,9.44,
2006-03,9.62,
2006-04,9.87,
2006-05,8.89,
2006-06,9.93,
2006-07,10.11,
2006-08,9.95,
2006-09,10.54,
2006-10,10.78,
2006-11,10.68,
2006-12,10.44,
2007-01,10.46,
2007-02,10.56,
2007-03,10.64,
2007-04,10.68,
2007-05,10.29,
2007-06,10.42,
2007-07,10.66,
2007-08,11.28,
2007-09,11.24,
2007-10,11.52,
2007-11,11.39,
2007-12,10.78,
2008-01,12.28,
2008-02,11.64,
2008-03,11.58,
2008-04,11.08,
2008-05,10.84,
2008-06,11.84,
2008-07,12.02,
2008-08,12.20,
2008-09,11.91,
2008-10,11.59,
2008-11,10.64,
2008-12,9.83,
