"",BBSF2.M.1.S.00000.TOT01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Distribution of earnings,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:59,
1993-04,69,
1993-05,66,
1993-06,219,
1993-07,66,
1993-08,21,
1993-09,57,
1993-10,205,
1993-11,590,
1993-12,2728,
1994-01,762,
1994-02,383,
1994-03,220,
1994-04,153,
1994-05,73,
1994-06,301,
1994-07,417,
1994-08,52,
1994-09,100,
1994-10,125,
1994-11,496,
1994-12,3502,
1995-01,721,
1995-02,361,
1995-03,253,
1995-04,82,
1995-05,146,
1995-06,116,
1995-07,70,
1995-08,116,
1995-09,104,
1995-10,525,
1995-11,471,
1995-12,4017,
1996-01,691,
1996-02,467,
1996-03,310,
1996-04,243,
1996-05,184,
1996-06,276,
1996-07,133,
1996-08,42,
1996-09,70,
1996-10,124,
1996-11,631,
1996-12,4980,
1997-01,881,
1997-02,787,
1997-03,320,
1997-04,417,
1997-05,208,
1997-06,466,
1997-07,336,
1997-08,235,
1997-09,117,
1997-10,240,
1997-11,526,
1997-12,6268,
1998-01,953,
1998-02,1379,
1998-03,663,
1998-04,524,
1998-05,348,
1998-06,560,
1998-07,355,
1998-08,314,
1998-09,357,
1998-10,198,
1998-11,650,
1998-12,8306,
1999-01,1284,
1999-02,1141,
1999-03,975,
1999-04,718,
1999-05,783,
1999-06,574,
1999-07,304,
1999-08,145,
1999-09,246,
1999-10,252,
1999-11,1439,
1999-12,10077,
2000-01,2134,
2000-02,1785,
2000-03,917,
2000-04,689,
2000-05,719,
2000-06,819,
2000-07,353,
2000-08,235,
2000-09,264,
2000-10,343,
2000-11,1301,
2000-12,10675,
2001-01,1619,
2001-02,1505,
2001-03,914,
2001-04,682,
2001-05,866,
2001-06,846,
2001-07,197,
2001-08,168,
2001-09,198,
2001-10,412,
2001-11,1461,
2001-12,9203,
2002-01,1366,
2002-02,1301,
2002-03,1155,
2002-04,673,
2002-05,587,
2002-06,587,
2002-07,145,
2002-08,134,
2002-09,235,
2002-10,385,
2002-11,1352,
2002-12,8810,
2003-01,1239,
2003-02,1274,
2003-03,996,
2003-04,626,
2003-05,666,
2003-06,639,
2003-07,156,
2003-08,179,
2003-09,389,
2003-10,387,
2003-11,1514,
2003-12,7614,
2004-01,1123,
2004-02,998,
2004-03,2152,
2004-04,737,
2004-05,633,
2004-06,534,
2004-07,123,
2004-08,207,
2004-09,491,
2004-10,225,
2004-11,1730,
2004-12,7946,
2005-01,1201,
2005-02,999,
2005-03,1511,
2005-04,978,
2005-05,738,
2005-06,575,
2005-07,275,
2005-08,524,
2005-09,1069,
2005-10,307,
2005-11,1674,
2005-12,8520,
2006-01,1297,
2006-02,1378,
2006-03,1388,
2006-04,1354,
2006-05,609,
2006-06,713,
2006-07,215,
2006-08,207,
2006-09,664,
2006-10,298,
2006-11,1326,
2006-12,8314,
2007-01,1696,
2007-02,1877,
2007-03,1766,
2007-04,866,
2007-05,737,
2007-06,1169,
2007-07,320,
2007-08,235,
2007-09,480,
2007-10,479,
2007-11,2153,
2007-12,11347,
2008-01,3602,
2008-02,1237,
2008-03,1547,
2008-04,1013,
2008-05,749,
2008-06,1189,
2008-07,302,
2008-08,234,
2008-09,531,
2008-10,509,
2008-11,3028,
2008-12,8711,
2009-01,2475,
2009-02,1483,
2009-03,1211,
2009-04,1177,
2009-05,738,
2009-06,582,
2009-07,717,
2009-08,675,
2009-09,427,
2009-10,868,
2009-11,1360,
2009-12,8500,
2010-01,2921,
2010-02,1021,
2010-03,1193,
2010-04,1359,
2010-05,732,
2010-06,912,
2010-07,509,
2010-08,390,
2010-09,834,
2010-10,525,
2010-11,1918,
2010-12,9645,
2011-01,3078,
2011-02,2121,
2011-03,1245,
2011-04,861,
2011-05,1099,
2011-06,1071,
2011-07,426,
2011-08,481,
2011-09,1016,
2011-10,519,
2011-11,2054,
2011-12,10037,
2012-01,2833,
2012-02,2409,
2012-03,1629,
2012-04,878,
2012-05,625,
2012-06,1241,
2012-07,907,
2012-08,946,
2012-09,1426,
2012-10,964,
2012-11,2558,
2012-12,10314,
2013-01,3934,
2013-02,2703,
2013-03,1609,
2013-04,1259,
2013-05,874,
2013-06,1409,
2013-07,428,
2013-08,1018,
2013-09,2734,
2013-10,1239,
2013-11,3995,
2013-12,11564,
2014-01,2993,
2014-02,2650,
2014-03,1150,
2014-04,994,
2014-05,654,
2014-06,1513,
2014-07,356,
2014-08,946,
2014-09,1036,
2014-10,1256,
2014-11,5053,
