"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.DE.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.DE.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Germany,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:08,
2009-09,269367,
2009-10,268365,
2009-11,272429,
2009-12,278001,
2010-01,276451,
2010-02,279489,
2010-03,288698,
2010-04,299316,
2010-05,303275,
2010-06,294647,
2010-07,296284,
2010-08,303629,
2010-09,306245,
2010-10,308730,
2010-11,311023,
2010-12,318309,
2011-01,313383,
2011-02,318304,
2011-03,314656,
2011-04,317920,
2011-05,318845,
2011-06,318255,
2011-07,324342,
2011-08,309644,
2011-09,305817,
2011-10,315093,
2011-11,315102,
2011-12,319158,
2012-01,321773,
2012-02,331540,
2012-03,330547,
2012-04,329049,
2012-05,326254,
2012-06,325089,
2012-07,341435,
2012-08,343600,
2012-09,344440,
2012-10,345273,
2012-11,345977,
2012-12,352953,
2013-01,352215,
2013-02,357090,
2013-03,359860,
2013-04,363631,
2013-05,364123,
2013-06,354688,
2013-07,363554,
2013-08,360678,
2013-09,365980,
2013-10,372553,
2013-11,376221,
2013-12,374803,
2014-01,371460,
2014-02,377151,
2014-03,374843,
2014-04,375012,
2014-05,378896,
2014-06,379356,
2014-07,380849,
2014-08,387579,
2014-09,382744,
2014-10,384762,
2014-11,392196,
