"",BBDE1.M.DE.W.AEN5.A2P300000.F.V.I10.A,BBDE1.M.DE.W.AEN5.A2P300000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, foreign / At current prices, flows / Germany / Industry / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:03,
2010-01,88.0,
2010-02,91.1,
2010-03,102.4,
2010-04,97.3,
2010-05,98.8,
2010-06,102.9,
2010-07,101.2,
2010-08,93.8,
2010-09,103.7,
2010-10,103.0,
2010-11,108.7,
2010-12,104.4,
2011-01,112.4,
2011-02,110.9,
2011-03,121.3,
2011-04,108.0,
2011-05,108.0,
2011-06,111.9,
2011-07,109.2,
2011-08,99.2,
2011-09,108.7,
2011-10,107.9,
2011-11,106.0,
2011-12,103.9,
2012-01,107.7,
2012-02,109.1,
2012-03,120.1,
2012-04,107.9,
2012-05,111.3,
2012-06,112.3,
2012-07,110.6,
2012-08,99.6,
2012-09,108.4,
2012-10,109.9,
2012-11,109.0,
2012-12,106.8,
2013-01,107.6,
2013-02,109.4,
2013-03,121.4,
2013-04,110.7,
2013-05,111.1,
2013-06,115.4,
2013-07,110.0,
2013-08,100.9,
2013-09,113.1,
2013-10,113.4,
2013-11,113.2,
2013-12,109.1,
2014-01,116.1,
2014-02,115.5,
2014-03,124.0,
2014-04,113.9,
2014-05,111.0,
2014-06,118.3,
2014-07,116.1,
2014-08,101.1,
2014-09,116.9,
2014-10,120.5,
2014-11,121.0,
2014-12,117.3,Provisional value
