"",BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.O.F4.T._T.N.N,BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.O.F4.T._T.N.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Loans / Enterprises and households / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:33,
1991-01,412.594,
1991-02,1014.278,
1991-03,1511.692,
1991-04,617.558,
1991-05,-798.951,
1991-06,959.441,
1991-07,-1132.865,
1991-08,-712.096,
1991-09,862.434,
1991-10,-418.047,
1991-11,-76.030,
1991-12,-1339.545,
1992-01,-13.864,
1992-02,-1195.995,
1992-03,514.893,
1992-04,-53.740,
1992-05,65.730,
1992-06,-489.845,
1992-07,-374.570,
1992-08,615.824,
1992-09,-670.923,
1992-10,33.499,
1992-11,-18.027,
1992-12,-377.007,
1993-01,86.907,
1993-02,473.251,
1993-03,395.421,
1993-04,740.428,
1993-05,434.942,
1993-06,-119.452,
1993-07,-270.021,
1993-08,369.695,
1993-09,-9.987,
1993-10,295.242,
1993-11,285.592,
1993-12,1453.129,
1994-01,226.327,
1994-02,68.450,
1994-03,1586.536,
1994-04,909.247,
1994-05,-263.479,
1994-06,240.378,
1994-07,470.118,
1994-08,946.545,
1994-09,206.518,
1994-10,216.063,
1994-11,-589.947,
1994-12,-242.779,
1995-01,1176.344,
1995-02,437.216,
1995-03,212.367,
1995-04,854.909,
1995-05,1416.816,
1995-06,-561.770,
1995-07,812.982,
1995-08,-66.351,
1995-09,1440.792,
1995-10,893.222,
1995-11,348.845,
1995-12,-1438.172,
1996-01,-11.596,
1996-02,251.583,
1996-03,69.867,
1996-04,-125.490,
1996-05,181.316,
1996-06,-204.862,
1996-07,235.530,
1996-08,-32.065,
1996-09,456.344,
1996-10,-247.469,
1996-11,1532.766,
1996-12,483.531,
1997-01,-15.019,
1997-02,267.611,
1997-03,10.514,
1997-04,-56.530,
1997-05,442.172,
1997-06,138.350,
1997-07,400.919,
1997-08,-76.212,
1997-09,-110.898,
1997-10,-194.194,
1997-11,189.716,
1997-12,334.719,
1998-01,89.947,
1998-02,331.660,
1998-03,-117.981,
1998-04,193.821,
1998-05,236.533,
1998-06,-552.395,
1998-07,558.867,
1998-08,269.086,
1998-09,154.164,
1998-10,409.900,
1998-11,-624.600,
1998-12,558.482,
1999-01,362.649,
1999-02,233.379,
1999-03,-303.147,
1999-04,68.675,
1999-05,183.858,
1999-06,2372.057,
1999-07,486.080,
1999-08,-232.021,
1999-09,-411.762,
1999-10,548.100,
1999-11,-526.677,
1999-12,339.046,
2000-01,1049.775,
2000-02,449.598,
2000-03,1749.320,
2000-04,-780.343,
2000-05,-380.143,
2000-06,939.227,
2000-07,218.675,
2000-08,261.685,
2000-09,5163.365,
2000-10,435.449,
2000-11,12.629,
2000-12,-1270.180,
2001-01,-70.406,
2001-02,405.670,
2001-03,24.666,
2001-04,601.252,
2001-05,-371.646,
2001-06,800.906,
2001-07,-5475.101,
2001-08,-817.088,
2001-09,679.747,
2001-10,571.227,
2001-11,755.338,
2001-12,599.779,
2002-01,468.988,
2002-02,84.114,
2002-03,1258.634,
2002-04,213.536,
2002-05,-122.477,
2002-06,551.772,
2002-07,-81.066,
2002-08,62.256,
2002-09,507.315,
2002-10,568.693,
2002-11,-1062.085,
2002-12,1861.986,
2003-01,-823.523,
2003-02,982.389,
2003-03,2000.934,
2003-04,-576.290,
2003-05,9.098,
2003-06,625.117,
2003-07,602.339,
2003-08,83.136,
2003-09,669.009,
2003-10,795.192,
2003-11,141.812,
2003-12,387.181,
2004-01,142.936,
2004-02,830.198,
2004-03,359.586,
2004-04,-326.128,
2004-05,51.580,
2004-06,849.203,
2004-07,331.622,
2004-08,53.901,
2004-09,226.612,
2004-10,-215.511,
2004-11,161.170,
2004-12,-844.543,
2005-01,-1214.138,
2005-02,860.773,
2005-03,357.186,
2005-04,2938.332,
2005-05,235.145,
2005-06,512.400,
2005-07,643.152,
2005-08,-22.176,
2005-09,-902.730,
2005-10,188.447,
2005-11,27.709,
2005-12,-429.266,
2006-01,-1174.413,
2006-02,1660.580,
2006-03,-2516.518,
2006-04,1713.795,
2006-05,270.314,
2006-06,-1637.482,
2006-07,61.907,
2006-08,-66.293,
2006-09,1540.093,
2006-10,275.232,
2006-11,-407.327,
2006-12,2881.591,
2007-01,-7550.286,
2007-02,1432.077,
2007-03,809.116,
2007-04,936.847,
2007-05,-1126.760,
2007-06,474.549,
2007-07,65.894,
2007-08,495.922,
2007-09,-2730.514,
2007-10,-115.849,
2007-11,143.218,
2007-12,-536.877,
2008-01,-1577.299,
2008-02,1629.629,
2008-03,576.682,
2008-04,-263.894,
2008-05,504.682,
2008-06,986.581,
2008-07,1444.649,
2008-08,-439.802,
2008-09,532.581,
2008-10,-348.825,
2008-11,636.091,
2008-12,455.111,
2009-01,522.223,
2009-02,-83.498,
2009-03,435.746,
2009-04,1346.481,
2009-05,-520.253,
2009-06,2270.319,
2009-07,-455.722,
2009-08,1056.331,
2009-09,1049.447,
2009-10,-250.551,
2009-11,395.995,
2009-12,650.760,
2010-01,1060.952,
2010-02,-463.446,
2010-03,1044.475,
2010-04,967.992,
2010-05,502.436,
2010-06,964.443,
2010-07,4730.602,
2010-08,1794.440,
2010-09,-1907.928,
2010-10,495.850,
2010-11,805.495,
2010-12,-504.652,
2011-01,-2751.118,
2011-02,2267.904,
2011-03,7343.630,
2011-04,-2848.955,
2011-05,8724.377,
2011-06,-10165.944,
2011-07,2813.924,
2011-08,4624.171,
2011-09,4376.469,
2011-10,-568.920,
2011-11,-1392.805,
2011-12,-3970.585,
2012-01,7011.431,
2012-02,-8395.711,
2012-03,2048.859,
2012-04,-10362.994,
2012-05,-11.767,
2012-06,-117.239,
2012-07,180.191,
2012-08,-381.897,
2012-09,579.884,
2012-10,581.476,
2012-11,576.183,
2012-12,-335.784,
2013-01,-1233.124,
2013-02,-424.614,
2013-03,471.426,
2013-04,1392.309,
2013-05,-1382.829,
2013-06,-657.953,
2013-07,-22.932,
2013-08,175.775,
2013-09,-1172.924,
2013-10,-2524.518,
2013-11,101.123,
2013-12,-3005.148,
2014-01,-599.583,
2014-02,-1382.143,Provisional value
2014-03,1245.699,Provisional value
2014-04,-1780.646,Provisional value
2014-05,-3119.033,Provisional value
2014-06,625.536,Provisional value
2014-07,-359.671,Provisional value
2014-08,615.672,Provisional value
2014-09,-2556.143,
2014-10,1419.139,
2014-11,-1584.897,
2014-12,1846.585,Provisional value
