"",BBDE1.M.DE.Y.AEB1.A2P320000.F.C.I10.A,BBDE1.M.DE.Y.AEB1.A2P320000.F.C.I10.A_FLAGS
"",Orders received from the domestic market / At constant prices / Germany / Capital goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:12,
1991-01,104.8,
1991-02,98.0,
1991-03,101.9,
1991-04,96.4,
1991-05,96.9,
1991-06,97.8,
1991-07,93.6,
1991-08,100.6,
1991-09,95.2,
1991-10,96.7,
1991-11,100.5,
1991-12,97.6,
1992-01,100.0,
1992-02,101.3,
1992-03,97.5,
1992-04,96.0,
1992-05,92.0,
1992-06,88.6,
1992-07,85.8,
1992-08,86.6,
1992-09,91.1,
1992-10,84.4,
1992-11,81.6,
1992-12,88.7,
1993-01,82.4,
1993-02,78.0,
1993-03,74.9,
1993-04,74.4,
1993-05,79.4,
1993-06,76.3,
1993-07,79.4,
1993-08,77.9,
1993-09,83.3,
1993-10,81.1,
1993-11,78.7,
1993-12,82.3,
1994-01,76.1,
1994-02,81.1,
1994-03,81.5,
1994-04,82.0,
1994-05,80.9,
1994-06,82.5,
1994-07,85.1,
1994-08,82.3,
1994-09,83.8,
1994-10,85.8,
1994-11,86.5,
1994-12,87.7,
1995-01,83.0,
1995-02,84.6,
1995-03,85.5,
1995-04,85.6,
1995-05,93.2,
1995-06,83.1,
1995-07,92.3,
1995-08,84.0,
1995-09,88.1,
1995-10,84.2,
1995-11,92.0,
1995-12,86.2,
1996-01,84.6,
1996-02,81.4,
1996-03,85.7,
1996-04,85.3,
1996-05,82.6,
1996-06,91.3,
1996-07,84.4,
1996-08,85.0,
1996-09,85.5,
1996-10,85.3,
1996-11,83.6,
1996-12,82.9,
1997-01,83.5,
1997-02,81.4,
1997-03,86.4,
1997-04,85.9,
1997-05,86.5,
1997-06,86.0,
1997-07,86.2,
1997-08,84.8,
1997-09,87.7,
1997-10,87.7,
1997-11,88.5,
1997-12,87.3,
1998-01,95.4,
1998-02,92.2,
1998-03,94.6,
1998-04,92.8,
1998-05,91.9,
1998-06,92.5,
1998-07,96.3,
1998-08,90.0,
1998-09,95.7,
1998-10,90.3,
1998-11,92.0,
1998-12,88.9,
1999-01,93.3,
1999-02,89.2,
1999-03,89.2,
1999-04,88.4,
1999-05,90.2,
1999-06,95.2,
1999-07,92.8,
1999-08,95.3,
1999-09,93.9,
1999-10,97.7,
1999-11,95.3,
1999-12,94.5,
2000-01,93.5,
2000-02,99.8,
2000-03,97.4,
2000-04,105.4,
2000-05,101.4,
2000-06,107.4,
2000-07,102.5,
2000-08,101.5,
2000-09,100.9,
2000-10,101.2,
