"",BBK01.OEXB02G,BBK01.OEXB02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:53,
2002-01,9.530,
2002-04,10.574,
2002-07,10.507,
2002-10,10.523,
2003-01,10.468,
2003-04,11.959,
2003-07,11.697,
2003-10,12.441,
2004-01,11.712,
2004-04,11.037,
2004-07,10.058,
2004-10,11.789,
2005-01,7.493,
2005-04,7.430,
2005-07,2.847,
2005-10,2.891,
2006-01,2.778,
2006-04,2.880,
2006-07,2.846,
2006-10,2.875,
2007-01,2.832,
2007-04,2.823,
2007-07,2.892,
2007-10,3.196,
2008-01,3.770,
2008-04,3.836,
2008-07,3.994,
2008-10,3.965,
2009-01,4.226,
2009-04,4.399,
2009-07,4.074,
2009-10,3.976,
2010-01,3.619,
2010-04,3.734,
2010-07,3.666,
2010-10,3.740,
2011-01,3.440,
2011-04,3.814,
2011-07,3.751,
2011-10,3.737,
2012-01,3.380,
2012-04,3.487,
2012-07,3.635,
2012-10,4.261,
2013-01,3.906,
2013-04,4.005,
2013-07,4.312,
2013-10,4.205,
2014-01,4.469,
2014-04,4.687,
2014-07,4.809,
