"",BBSF2.M.1.S.00000.GEL01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.S.00000.GEL01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Special investors funds / Money market funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:20,
2009-09,1644,
2009-10,1613,
2009-11,1610,
2009-12,1576,
2010-01,1515,
2010-02,1418,
2010-03,1904,
2010-04,1869,
2010-05,1757,
2010-06,1732,
2010-07,1539,
2010-08,1732,
2010-09,1707,
2010-10,1627,
2010-11,1414,
2010-12,1414,
2011-01,1446,
2011-02,1446,
2011-03,1455,
2011-04,1460,
2011-05,1469,
2011-06,1421,
2011-07,1459,
2011-08,1451,
2011-09,1444,
2011-10,1440,
2011-11,1431,
2011-12,1431,
2012-01,1452,
2012-02,1457,
2012-03,1495,
2012-04,1492,
2012-05,1482,
2012-06,1484,
2012-07,1490,
2012-08,1102,
2012-09,1108,
2012-10,1507,
2012-11,1516,
2012-12,3479,
2013-01,3477,
2013-02,2875,
2013-03,2809,
2013-04,2863,
2013-05,2761,
2013-06,1179,
2013-07,1238,
2013-08,1238,
2013-09,904,
2013-10,678,
2013-11,674,
2013-12,154,
2014-01,157,
2014-02,158,
2014-03,147,
2014-04,147,
2014-05,147,
2014-06,147,
2014-07,144,
2014-08,145,
2014-09,147,
2014-10,143,
2014-11,147,
