"",BBK01.OEAD04T,BBK01.OEAD04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:06,
2002-01,0.082,
2002-04,0.077,
2002-07,0.076,
2002-10,0.065,
2003-01,0.064,
2003-04,0.064,
2003-07,0.059,
2003-10,0.051,
2004-01,0.055,
2004-04,0.050,
2004-07,0.046,
2004-10,0.045,
2005-01,0.042,
2005-04,0.046,
2005-07,0.052,
2005-10,0.054,
2006-01,0.058,
2006-04,0.061,
2006-07,0.068,
2006-10,0.062,
2007-01,0.061,
2007-04,0.036,
2007-07,0.038,
2007-10,0.032,
2008-01,0.029,
2008-04,0.030,
2008-07,0.027,
2008-10,0.027,
2009-01,0.023,
2009-04,0.023,
2009-07,0.037,
2009-10,0.036,
2010-01,0.061,
2010-04,0.059,
2010-07,0.059,
2010-10,0.061,
2011-01,0.056,
2011-04,0.052,
2011-07,0.034,
2011-10,0.034,
2012-01,0.037,
2012-04,0.037,
2012-07,0.030,
2012-10,0.028,
2013-01,0.030,
2013-04,0.030,
2013-07,0.030,
2013-10,0.027,
2014-01,0.030,
2014-04,0.026,
2014-07,0.024,
