"",BBK01.OEXM04M,BBK01.OEXM04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:50,
2002-01,0.280,
2002-04,0.284,
2002-07,0.250,
2002-10,0.234,
2003-01,0.149,
2003-04,0.147,
2003-07,0.148,
2003-10,0.197,
2004-01,0.160,
2004-04,0.141,
2004-07,0.107,
2004-10,0.156,
2005-01,0.136,
2005-04,0.219,
2005-07,0.158,
2005-10,0.168,
2006-01,0.147,
2006-04,0.184,
2006-07,0.162,
2006-10,0.209,
2007-01,0.170,
2007-04,0.249,
2007-07,0.294,
2007-10,0.321,
2008-01,0.311,
2008-04,0.345,
2008-07,0.185,
2008-10,0.298,
2009-01,0.257,
2009-04,0.258,
2009-07,0.323,
2009-10,0.376,
2010-01,0.278,
2010-04,0.182,
2010-07,0.149,
2010-10,0.113,
2011-01,0.169,
2011-04,0.139,
2011-07,0.145,
2011-10,0.137,
2012-01,0.305,
2012-04,0.241,
2012-07,0.098,
2012-10,0.152,
2013-01,0.675,
2013-04,0.676,
2013-07,0.814,
2013-10,0.714,
2014-01,0.693,
2014-04,0.987,
2014-07,1.316,
