"",BBK01.OEAO01K,BBK01.OEAO01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:29,
2002-01,11.336,
2002-04,11.282,
2002-07,10.676,
2002-10,10.643,
2003-01,11.115,
2003-04,11.285,
2003-07,11.224,
2003-10,11.100,
2004-01,11.271,
2004-04,11.382,
2004-07,11.306,
2004-10,11.392,
2005-01,12.889,
2005-04,12.840,
2005-07,12.931,
2005-10,12.774,
2006-01,12.704,
2006-04,12.686,
2006-07,12.651,
2006-10,12.504,
2007-01,12.600,
2007-04,12.766,
2007-07,12.532,
2007-10,12.322,
2008-01,12.587,
2008-04,12.780,
2008-07,12.705,
2008-10,12.434,
2009-01,13.369,
2009-04,13.350,
2009-07,13.329,
2009-10,13.456,
2010-01,13.205,
2010-04,13.174,
2010-07,13.089,
2010-10,13.229,
2011-01,13.548,
2011-04,13.625,
2011-07,13.642,
2011-10,13.501,
2012-01,13.390,
2012-04,13.528,
2012-07,13.427,
2012-10,13.653,
2013-01,13.663,
2013-04,13.417,
2013-07,13.230,
2013-10,13.217,
2014-01,13.318,
2014-04,13.788,
2014-07,13.918,
