"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.PL.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.PL.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Poland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:58,
2009-09,182,
2009-10,192,
2009-11,212,
2009-12,213,
2010-01,208,
2010-02,211,
2010-03,221,
2010-04,232,
2010-05,236,
2010-06,218,
2010-07,267,
2010-08,258,
2010-09,295,
2010-10,312,
2010-11,320,
2010-12,340,
2011-01,320,
2011-02,332,
2011-03,336,
2011-04,353,
2011-05,365,
2011-06,399,
2011-07,408,
2011-08,377,
2011-09,388,
2011-10,345,
2011-11,310,
2011-12,311,
2012-01,296,
2012-02,306,
2012-03,293,
2012-04,286,
2012-05,259,
2012-06,305,
2012-07,308,
2012-08,384,
2012-09,359,
2012-10,357,
2012-11,379,
2012-12,408,
2013-01,384,
2013-02,388,
2013-03,373,
2013-04,393,
2013-05,401,
2013-06,365,
2013-07,420,
2013-08,424,
2013-09,422,
2013-10,462,
2013-11,458,
2013-12,432,
2014-01,404,
2014-02,431,
2014-03,426,
2014-04,428,
2014-05,436,
2014-06,430,
2014-07,433,
2014-08,465,
2014-09,491,
2014-10,496,
2014-11,497,
