"",BBK01.OEAD05U,BBK01.OEAD05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:31,
2002-01,0.381,
2002-04,0.378,
2002-07,0.358,
2002-10,0.354,
2003-01,0.351,
2003-04,0.356,
2003-07,0.347,
2003-10,0.344,
2004-01,0.342,
2004-04,0.331,
2004-07,0.326,
2004-10,0.300,
2005-01,0.300,
2005-04,0.287,
2005-07,0.280,
2005-10,0.279,
2006-01,0.284,
2006-04,0.280,
2006-07,0.282,
2006-10,0.282,
2007-01,0.282,
2007-04,0.292,
2007-07,0.277,
2007-10,0.287,
2008-01,0.297,
2008-04,0.308,
2008-07,0.326,
2008-10,0.333,
2009-01,0.337,
2009-04,0.341,
2009-07,0.342,
2009-10,0.320,
2010-01,0.348,
2010-04,0.348,
2010-07,0.343,
2010-10,0.342,
2011-01,0.394,
2011-04,0.386,
2011-07,0.378,
2011-10,0.381,
2012-01,0.406,
2012-04,0.398,
2012-07,0.402,
2012-10,0.392,
2013-01,0.398,
2013-04,0.380,
2013-07,0.369,
2013-10,0.367,
2014-01,0.370,
2014-04,0.368,
2014-07,0.334,
