"",BBK01.OEAH58O,BBK01.OEAH58O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:08,
2002-01,0.188,
2002-04,0.185,
2002-07,0.349,
2002-10,0.263,
2003-01,0.671,
2003-04,0.808,
2003-07,0.761,
2003-10,0.566,
2004-01,0.887,
2004-04,0.853,
2004-07,0.803,
2004-10,0.828,
2005-01,16.463,
2005-04,16.933,
2005-07,17.105,
2005-10,17.323,
2006-01,17.447,
2006-04,17.551,
2006-07,17.201,
2006-10,17.337,
2007-01,17.359,
2007-04,17.854,
2007-07,17.796,
2007-10,17.824,
2008-01,17.653,
2008-04,17.638,
2008-07,17.335,
2008-10,18.046,
2009-01,19.395,
2009-04,20.882,
2009-07,21.792,
2009-10,22.871,
2010-01,23.725,
2010-04,24.508,
2010-07,26.926,
2010-10,26.677,
2011-01,26.646,
2011-04,26.779,
2011-07,26.422,
2011-10,26.560,
2012-01,26.726,
2012-04,27.110,
2012-07,27.751,
2012-10,28.700,
2013-01,29.476,
2013-04,30.414,
2013-07,30.511,
2013-10,31.545,
2014-01,32.201,
2014-04,32.993,
2014-07,33.472,
