"",BBSF2.M.1.S.00000.IMM01.I.F.UBS.DE.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.UBS.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Properties / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:43,
2009-09,235,
2009-10,237,
2009-11,227,
2009-12,227,
2010-01,75,
2010-02,76,
2010-03,77,
2010-04,78,
2010-05,96,
2010-06,97,
2010-07,80,
2010-08,84,
2010-09,71,
2010-10,68,
2010-11,71,
2010-12,76,
2011-01,77,
2011-02,79,
2011-03,204,
2011-04,102,
2011-05,115,
2011-06,120,
2011-07,126,
2011-08,92,
2011-09,130,
2011-10,78,
2011-11,87,
2011-12,89,
2012-01,90,
2012-02,87,
2012-03,61,
2012-04,62,
2012-05,65,
2012-06,57,
2012-07,47,
2012-08,48,
2012-09,49,
2012-10,30,
2012-11,39,
2012-12,41,
2013-01,35,
2013-02,19,
2013-03,19,
2013-04,27,
2013-05,28,
2013-06,28,
2013-07,29,
2013-08,29,
2013-09,159,
2013-10,191,
2013-11,595,
2013-12,592,
2014-01,813,
2014-02,822,
2014-03,873,
2014-04,883,
2014-05,889,
2014-06,892,
2014-07,992,
2014-08,1043,
2014-09,1053,
2014-10,1074,
2014-11,70,
