"",BBSF2.M.1.S.00000.GEM01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEM01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Number outstanding,
unit,Stück (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:34,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,985350,
1993-05,986468,
1993-06,995949,
1993-07,1008299,
1993-08,1016005,
1993-09,1020412,
1993-10,1039193,
1993-11,1051680,
1993-12,1092735,
1994-01,1131219,
1994-02,1154700,
1994-03,1168627,
1994-04,1215456,
1994-05,1233090,
1994-06,1245370,
1994-07,1262645,
1994-08,1272784,
1994-09,1261842,
1994-10,1290952,
1994-11,1278162,
1994-12,1321504,
1995-01,1357002,
1995-02,1376213,
1995-03,1385333,
1995-04,1394789,
1995-05,1399426,
1995-06,1407010,
1995-07,1415396,
1995-08,1422788,
1995-09,1453194,
1995-10,1451667,
1995-11,1482247,
1995-12,1543027,
1996-01,1591258,
1996-02,1641253,
1996-03,1669841,
1996-04,1693218,
1996-05,1707138,
1996-06,1734907,
1996-07,1760024,
1996-08,1780933,
1996-09,1786268,
1996-10,1818344,
1996-11,1839766,
1996-12,1905737,
1997-01,1965439,
1997-02,2017281,
1997-03,2053001,
1997-04,2080518,
1997-05,2098410,
1997-06,2168730,
1997-07,2226835,
1997-08,2284893,
1997-09,2326745,
1997-10,2378674,
1997-11,2389553,
1997-12,2509556,
1998-01,2613961,
1998-02,2673715,
1998-03,2733246,
1998-04,2790122,
1998-05,2828110,
1998-06,2850068,
1998-07,2924625,
1998-08,2992048,
1998-09,3065064,
1998-10,3106901,
1998-11,3138336,
1998-12,3314651,
1999-01,3372237,
1999-02,3412138,
1999-03,3456820,
1999-04,3500158,
1999-05,3551769,
1999-06,3609758,
1999-07,3651748,
1999-08,3696632,
1999-09,3707615,
1999-10,3729020,
1999-11,3737973,
1999-12,3853552,
2000-01,3918172,
2000-02,3917051,
2000-03,4011010,
2000-04,4017034,
2000-05,4042319,
2000-06,4056037,
2000-07,4084195,
2000-08,4108842,
2000-09,4138042,
2000-10,4175071,
2000-11,4197078,
2000-12,4310876,
2001-01,4364826,
2001-02,4436233,
2001-03,4437943,
2001-04,4434194,
2001-05,4459533,
2001-06,4447936,
2001-07,4460025,
2001-08,4476627,
2001-09,4470647,
2001-10,4522818,
2001-11,4526867,
2001-12,4589528,
2002-01,4614280,
2002-02,4640616,
2002-03,4580618,
2002-04,4621129,
2002-05,4608850,
2002-06,4639655,
2002-07,4662266,
2002-08,4653078,
2002-09,4665881,
2002-10,4680471,
2002-11,4712147,
2002-12,4720953,
2003-01,4794879,
2003-02,4777289,
2003-03,4846447,
2003-04,4864475,
2003-05,4922961,
2003-06,4942479,
2003-07,4959055,
2003-08,4948000,
2003-09,4987166,
2003-10,5017775,
2003-11,4987013,
2003-12,5070631,
2004-01,5116016,
2004-02,5119607,
2004-03,5145136,
2004-04,5181346,
2004-05,5166184,
2004-06,5191234,
2004-07,5161396,
2004-08,5161000,
2004-09,5156393,
2004-10,5156155,
2004-11,5134642,
2004-12,5136541,
2005-01,5153386,
2005-02,5158185,
2005-03,5129613,
2005-04,5136998,
2005-05,5114740,
2005-06,5150284,
2005-07,5130977,
2005-08,5124084,
2005-09,5072479,
2005-10,5040482,
2005-11,4988141,
2005-12,4995425,
2006-01,4886438,
2006-02,4919821,
2006-03,4929605,
2006-04,4918027,
2006-05,4918434,
2006-06,4892159,
2006-07,4854067,
2006-08,4735996,
2006-09,4744332,
2006-10,4726457,
2006-11,4676103,
2006-12,4794579,
2007-01,4792691,
2007-02,4827646,
2007-03,4825281,
2007-04,4869557,
2007-05,4866584,
2007-06,4812861,
2007-07,4789846,
2007-08,4780773,
2007-09,4790839,
2007-10,4753006,
2007-11,4725655,
2007-12,4767590,
2008-01,4773474,
2008-02,4810581,
2008-03,4804672,
2008-04,4788709,
2008-05,4770130,
2008-06,4753671,
2008-07,4610441,
2008-08,4615452,
2008-09,4628681,
2008-10,4525386,
2008-11,4458083,
2008-12,4419352,
2009-01,4399162,
2009-02,4373608,
2009-03,4354049,
2009-04,4258129,
2009-05,3730237,
2009-06,3715903,
2009-07,3617766,
2009-08,3605342,
2009-09,3372818,
2009-10,3393589,
2009-11,3388523,
2009-12,3421758,
2010-01,3448738,
2010-02,3452420,
2010-03,3458133,
2010-04,3437465,
2010-05,3403880,
2010-06,3440334,
2010-07,3451502,
2010-08,3471894,
2010-09,3440466,
2010-10,3472946,
2010-11,3500154,
2010-12,3665404,
2011-01,3715922,
2011-02,3746922,
2011-03,3756341,
2011-04,3756872,
2011-05,3750354,
2011-06,3761852,
2011-07,3763344,
2011-08,3750333,
2011-09,3746130,
2011-10,3828193,
2011-11,3820069,
2011-12,3863551,
2012-01,3812613,
2012-02,3872353,
2012-03,3878797,
2012-04,3902120,
2012-05,3889804,
2012-06,3912396,
2012-07,3919074,
2012-08,3930262,
2012-09,3960117,
2012-10,3988608,
2012-11,4030549,
2012-12,4107310,
2013-01,4163854,
2013-02,4245915,
2013-03,4330080,
2013-04,4360853,
2013-05,4396691,
2013-06,4444484,
2013-07,4479434,
2013-08,4499137,
2013-09,4502856,
2013-10,4483417,
2013-11,4506773,
2013-12,4578522,
2014-01,4578475,
2014-02,4638537,
2014-03,4663444,
2014-04,4671158,
2014-05,4697718,
2014-06,4705479,
2014-07,4773322,
2014-08,4952200,
2014-09,4966245,
2014-10,4981652,
2014-11,4999134,
