"",BBK01.OELB17Q,BBK01.OELB17Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:01,
2002-01,3.007,
2002-04,3.053,
2002-07,3.090,
2002-10,3.101,
2003-01,3.056,
2003-04,3.063,
2003-07,3.069,
2003-10,3.099,
2004-01,3.081,
2004-04,3.101,
2004-07,3.144,
2004-10,3.219,
2005-01,3.199,
2005-04,3.213,
2005-07,3.405,
2005-10,3.437,
2006-01,3.500,
2006-04,3.489,
2006-07,3.506,
2006-10,3.443,
2007-01,3.414,
2007-04,3.419,
2007-07,3.444,
2007-10,3.461,
2008-01,3.466,
2008-04,3.495,
2008-07,3.497,
2008-10,3.510,
2009-01,3.504,
2009-04,3.534,
2009-07,3.593,
2009-10,3.631,
2010-01,3.656,
2010-04,3.665,
2010-07,3.725,
2010-10,3.774,
2011-01,3.801,
2011-04,3.834,
2011-07,3.933,
2011-10,3.954,
2012-01,3.995,
2012-04,4.159,
2012-07,4.206,
2012-10,4.245,
2013-01,4.272,
2013-04,4.351,
2013-07,4.420,
2013-10,4.476,
2014-01,4.408,
2014-04,4.455,
2014-07,4.503,
