"",BBK01.CEB0CQ,BBK01.CEB0CQ_FLAGS
"",Liabilities debtor: General government  (consolidated)                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:21,
1991-01,541.3,
1991-04,551.0,
1991-07,557.2,
1991-10,580.2,
1992-01,595.8,
1992-04,598.9,
1992-07,618.3,
1992-10,672.0,
1993-01,702.4,
1993-04,717.2,
1993-07,744.1,
1993-10,781.6,
1994-01,809.9,
1994-04,797.3,
1994-07,798.5,
1994-10,828.0,
1995-01,936.9,
1995-04,956.3,
1995-07,986.1,
1995-10,1029.6,
1996-01,1029.9,
1996-04,1038.2,
1996-07,1064.5,
1996-10,1103.7,
1997-01,1119.1,
1997-04,1134.2,
1997-07,1143.9,
1997-10,1155.8,
1998-01,1183.6,
1998-04,1184.2,
1998-07,1209.3,
1998-10,1220.3,
1999-01,1250.4,
1999-04,1241.1,
1999-07,1226.5,
1999-10,1234.1,
2000-01,1244.2,
2000-04,1244.6,
2000-07,1249.6,
2000-10,1246.1,
2001-01,1242.6,
2001-04,1226.9,
2001-07,1248.3,
2001-10,1265.1,
2002-01,1274.9,
2002-04,1280.8,
2002-07,1324.8,
2002-10,1334.7,
2003-01,1382.8,
2003-04,1412.2,
2003-07,1406.2,
2003-10,1416.9,
2004-01,1479.5,
2004-04,1468.2,
2004-07,1498.2,
2004-10,1516.3,
2005-01,1540.1,
2005-04,1582.4,
2005-07,1604.5,
2005-10,1594.8,
2006-01,1596.3,
2006-04,1590.0,
2006-07,1617.6,
2006-10,1615.3,
2007-01,1608.7,
2007-04,1594.6,
2007-07,1588.6,
2007-10,1595.8,
2008-01,1632.1,
2008-04,1631.2,
2008-07,1643.6,
2008-10,1726.7,
2009-01,1754.9,
2009-04,1798.2,
2009-07,1821.8,
2009-10,1840.5,
2010-01,1870.6,
2010-04,1949.9,
2010-07,1992.3,
2010-10,2149.4,
2011-01,2124.4,
2011-04,2150.4,
2011-07,2243.8,
2011-10,2237.8,
2012-01,2278.5,
2012-04,2364.3,
2012-07,2360.4,
2012-10,2355.5,
2013-01,2336.9,
2013-04,2312.5,
2013-07,2258.4,
2013-10,2276.2,
2014-01,2291.2,
