"",BBK01.OEXL02R,BBK01.OEXL02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:57,
2002-01,0.324,
2002-04,0.321,
2002-07,0.310,
2002-10,0.330,
2003-01,0.327,
2003-04,0.331,
2003-07,0.343,
2003-10,0.359,
2004-01,0.372,
2004-04,0.376,
2004-07,0.379,
2004-10,0.353,
2005-01,0.352,
2005-04,0.353,
2005-07,0.365,
2005-10,0.385,
2006-01,0.390,
2006-04,0.390,
2006-07,0.377,
2006-10,0.383,
2007-01,0.386,
2007-04,0.400,
2007-07,0.401,
2007-10,0.369,
2008-01,0.324,
2008-04,0.329,
2008-07,0.317,
2008-10,0.314,
2009-01,0.322,
2009-04,0.370,
2009-07,0.386,
2009-10,0.470,
2010-01,0.435,
2010-04,0.469,
2010-07,0.482,
2010-10,0.486,
2011-01,0.462,
2011-04,0.496,
2011-07,0.527,
2011-10,0.550,
2012-01,0.549,
2012-04,0.553,
2012-07,0.579,
2012-10,0.605,
2013-01,0.634,
2013-04,0.653,
2013-07,0.675,
2013-10,0.696,
2014-01,0.710,
2014-04,0.747,
2014-07,0.767,
