"",BBK01.OELL07I,BBK01.OELL07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:19,
2002-01,2.301,
2002-04,2.259,
2002-07,2.271,
2002-10,2.373,
2003-01,2.433,
2003-04,2.403,
2003-07,2.405,
2003-10,2.445,
2004-01,2.376,
2004-04,2.304,
2004-07,2.238,
2004-10,2.306,
2005-01,2.293,
2005-04,2.233,
2005-07,2.220,
2005-10,2.252,
2006-01,2.253,
2006-04,2.222,
2006-07,2.210,
2006-10,2.188,
2007-01,2.111,
2007-04,2.070,
2007-07,2.072,
2007-10,2.087,
2008-01,2.066,
2008-04,2.007,
2008-07,1.977,
2008-10,1.991,
2009-01,1.951,
2009-04,1.869,
2009-07,1.803,
2009-10,1.834,
2010-01,1.852,
2010-04,1.821,
2010-07,1.770,
2010-10,1.720,
2011-01,1.695,
2011-04,1.690,
2011-07,1.665,
2011-10,1.672,
2012-01,1.644,
2012-04,1.629,
2012-07,1.617,
2012-10,1.651,
2013-01,1.669,
2013-04,1.684,
2013-07,1.645,
2013-10,1.660,
2014-01,1.634,
2014-04,1.641,
2014-07,1.624,
