"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F52._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F52._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Investmentfondsanteile / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:40,
1991-01,345.575,
1991-02,328.356,
1991-03,579.566,
1991-04,389.004,
1991-05,454.610,
1991-06,648.334,
1991-07,1070.303,
1991-08,976.143,
1991-09,840.587,
1991-10,743.422,
1991-11,630.175,
1991-12,-578.063,
1992-01,1740.422,
1992-02,1283.143,
1992-03,997.183,
1992-04,1614.923,
1992-05,943.606,
1992-06,1539.364,
1992-07,2677.216,
1992-08,3310.945,
1992-09,1962.909,
1992-10,4439.235,
1992-11,5904.819,
1992-12,4795.040,
1993-01,6900.510,
1993-02,4200.460,
1993-03,1997.389,
1993-04,3584.752,
1993-05,1810.793,
1993-06,2055.702,
1993-07,2752.990,
1993-08,2139.367,
1993-09,-706.440,
1993-10,-462.011,
1993-11,-2324.788,
1993-12,-12444.788,
1994-01,1614.648,
1994-02,349.069,
1994-03,226.899,
1994-04,98.278,
1994-05,101.998,
1994-06,-83.240,
1994-07,-58.839,
1994-08,2925.762,
1994-09,1437.646,
1994-10,1004.901,
1994-11,924.829,
1994-12,2747.997,
1995-01,-190.994,
1995-02,-512.514,
1995-03,-783.164,
1995-04,362.061,
1995-05,64.876,
1995-06,-275.692,
1995-07,42.509,
1995-08,23.242,
1995-09,-74.862,
1995-10,-115.760,
1995-11,-43.594,
1995-12,2104.607,
1996-01,233.733,
1996-02,915.565,
1996-03,567.357,
1996-04,250.975,
1996-05,-165.187,
1996-06,531.629,
1996-07,164.419,
1996-08,367.419,
1996-09,-479.449,
1996-10,-80.704,
1996-11,-71.537,
1996-12,-48.748,
1997-01,-271.819,
1997-02,-86.907,
1997-03,411.873,
1997-04,117.217,
1997-05,434.508,
1997-06,310.246,
1997-07,515.481,
1997-08,1456.567,
1997-09,1201.644,
1997-10,546.747,
1997-11,210.192,
1997-12,-1338.110,
1998-01,1372.470,
1998-02,839.180,
1998-03,871.079,
1998-04,2004.752,
1998-05,864.332,
1998-06,663.010,
1998-07,904.811,
1998-08,443.102,
1998-09,175.810,
1998-10,728.165,
1998-11,897.886,
1998-12,-616.331,
1999-01,364.203,
1999-02,847.773,
1999-03,2362.268,
1999-04,627.227,
1999-05,1609.401,
1999-06,-54.680,
1999-07,783.102,
1999-08,1189.689,
1999-09,642.045,
1999-10,562.092,
1999-11,2862.004,
1999-12,2290.784,
2000-01,6124.984,
2000-02,5280.141,
2000-03,3396.070,
2000-04,3065.551,
2000-05,2683.464,
2000-06,1434.359,
2000-07,1720.456,
2000-08,3239.605,
2000-09,1639.144,
2000-10,1931.127,
2000-11,2461.237,
2000-12,-114.147,
2001-01,3446.200,
2001-02,2305.805,
2001-03,457.575,
2001-04,2106.078,
2001-05,1440.063,
2001-06,1344.952,
2001-07,941.990,
2001-08,1193.364,
2001-09,1813.593,
2001-10,1945.036,
2001-11,2400.438,
2001-12,870.739,
2002-01,2556.192,
2002-02,1873.571,
2002-03,585.999,
2002-04,804.707,
2002-05,1354.645,
2002-06,-863.014,
2002-07,919.470,
2002-08,730.861,
2002-09,-155.571,
2002-10,265.710,
2002-11,-31.331,
2002-12,-953.236,
2003-01,2049.027,
2003-02,265.257,
2003-03,974.121,
2003-04,65.500,
2003-05,255.877,
2003-06,-7.019,
2003-07,-155.090,
2003-08,237.880,
2003-09,-427.087,
2003-10,324.355,
2003-11,-263.016,
2003-12,491.399,
2004-01,3467.880,
2004-02,1218.084,
2004-03,2438.445,
2004-04,1926.431,
2004-05,492.963,
2004-06,516.659,
2004-07,96.850,
2004-08,1408.295,
2004-09,1669.470,
2004-10,229.578,
2004-11,479.538,
2004-12,-961.629,
2005-01,7100.531,
2005-02,5583.445,
2005-03,3812.216,
2005-04,1918.247,
2005-05,2385.640,
2005-06,4130.689,
2005-07,4001.635,
2005-08,3259.028,
2005-09,5399.529,
2005-10,3693.770,
2005-11,1768.028,
2005-12,495.542,
2006-01,8791.241,
2006-02,7750.700,
2006-03,3229.719,
2006-04,928.712,
2006-05,-1102.036,
2006-06,-1440.729,
2006-07,1284.720,
2006-08,297.161,
2006-09,551.024,
2006-10,665.911,
2006-11,2177.389,
2006-12,4594.975,
2007-01,6533.376,
2007-02,8006.283,
2007-03,-1572.414,
2007-04,6404.502,
2007-05,7969.836,
2007-06,2608.165,
2007-07,5163.079,
2007-08,-4609.085,
2007-09,1643.136,
2007-10,7391.004,
2007-11,1576.234,
2007-12,1228.426,
2008-01,3464.447,
2008-02,6263.510,
2008-03,3787.895,
2008-04,2313.506,
2008-05,5675.216,
2008-06,-1193.764,
2008-07,-317.567,
2008-08,1934.585,
2008-09,947.318,
2008-10,-17984.800,
2008-11,383.451,
2008-12,5236.474,
2009-01,3132.639,
2009-02,-306.478,
2009-03,-1448.089,
2009-04,-2278.640,
2009-05,4984.444,
2009-06,3195.862,
2009-07,3619.424,
2009-08,-307.451,
2009-09,3689.033,
2009-10,2032.592,
2009-11,1324.906,
2009-12,-11455.925,
2010-01,3626.240,
2010-02,2108.371,
2010-03,2167.847,
2010-04,1947.111,
2010-05,-4453.893,
2010-06,2519.042,
2010-07,1004.018,
2010-08,4995.206,
2010-09,2226.539,
2010-10,2541.702,
2010-11,7446.945,
2010-12,-4845.396,
2011-01,2624.250,
2011-02,2988.169,
2011-03,-2405.782,
2011-04,3311.925,
2011-05,-1761.307,
2011-06,-388.729,
2011-07,-540.177,
2011-08,-2148.239,
2011-09,-374.623,
2011-10,1641.410,
2011-11,403.685,
2011-12,-2074.041,
2012-01,1766.180,
2012-02,1634.494,
2012-03,2895.108,
2012-04,-1847.171,
2012-05,-775.536,
2012-06,-961.063,
2012-07,2849.616,
2012-08,3159.424,
2012-09,1333.758,
2012-10,3427.384,
2012-11,3457.343,
2012-12,4756.909,
2013-01,3616.747,
2013-02,3748.046,
2013-03,3821.141,
2013-04,2251.990,
2013-05,2380.147,
2013-06,-533.210,
2013-07,4288.348,
2013-08,1501.304,
2013-09,1905.888,
2013-10,6906.217,
2013-11,926.829,
2013-12,507.246,
2014-01,2434.682,
2014-02,4311.831,Provisional value
2014-03,2939.276,Provisional value
2014-04,2503.668,Provisional value
2014-05,672.429,Provisional value
2014-06,5473.333,Provisional value
2014-07,4432.568,Provisional value
2014-08,2134.003,Provisional value
2014-09,6239.002,
2014-10,2352.987,
2014-11,4657.477,
2014-12,-734.496,Provisional value
