"",BBK01.OEBL04T,BBK01.OEBL04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:24,
2002-01,0.170,
2002-04,0.152,
2002-07,0.150,
2002-10,0.146,
2003-01,0.119,
2003-04,0.088,
2003-07,0.084,
2003-10,0.083,
2004-01,0.087,
2004-04,0.077,
2004-07,0.069,
2004-10,0.051,
2005-01,0.101,
2005-04,0.100,
2005-07,0.095,
2005-10,0.093,
2006-01,0.099,
2006-04,0.099,
2006-07,0.157,
2006-10,0.217,
2007-01,0.231,
2007-04,0.236,
2007-07,0.252,
2007-10,0.271,
2008-01,0.320,
2008-04,0.342,
2008-07,0.429,
2008-10,0.434,
2009-01,0.385,
2009-04,0.340,
2009-07,0.264,
2009-10,0.216,
2010-01,0.173,
2010-04,0.160,
2010-07,0.122,
2010-10,0.097,
2011-01,0.107,
2011-04,0.090,
2011-07,0.078,
2011-10,0.131,
2012-01,0.157,
2012-04,0.161,
2012-07,0.182,
2012-10,0.140,
2013-01,0.118,
2013-04,0.116,
2013-07,0.096,
2013-10,0.098,
2014-01,0.099,
2014-04,0.194,
2014-07,0.123,
