"",BBSF2.M.1.P.00000.GEL01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.GEL01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Public funds / Money market funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:15,
2009-09,2611,
2009-10,2480,
2009-11,2442,
2009-12,2425,
2010-01,2570,
2010-02,2606,
2010-03,2593,
2010-04,2456,
2010-05,2268,
2010-06,2152,
2010-07,2254,
2010-08,2081,
2010-09,2110,
2010-10,2064,
2010-11,2116,
2010-12,2084,
2011-01,2235,
2011-02,2156,
2011-03,2036,
2011-04,2014,
2011-05,1985,
2011-06,1848,
2011-07,1450,
2011-08,1446,
2011-09,1409,
2011-10,1304,
2011-11,892,
2011-12,827,
2012-01,798,
2012-02,724,
2012-03,734,
2012-04,718,
2012-05,709,
2012-06,750,
2012-07,685,
2012-08,777,
2012-09,764,
2012-10,815,
2012-11,862,
2012-12,843,
2013-01,883,
2013-02,900,
2013-03,876,
2013-04,830,
2013-05,843,
2013-06,830,
2013-07,812,
2013-08,848,
2013-09,821,
2013-10,827,
2013-11,888,
2013-12,978,
2014-01,1099,
2014-02,1145,
2014-03,1108,
2014-04,1188,
2014-05,1297,
2014-06,1217,
2014-07,1261,
2014-08,1251,
2014-09,1245,
2014-10,1269,
2014-11,1205,
