"",BBK01.OEHL03Q,BBK01.OEHL03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:44,
2002-01,0.816,
2002-04,0.801,
2002-07,0.790,
2002-10,0.763,
2003-01,0.718,
2003-04,0.700,
2003-07,0.686,
2003-10,0.641,
2004-01,0.621,
2004-04,0.606,
2004-07,0.604,
2004-10,0.638,
2005-01,0.535,
2005-04,0.532,
2005-07,0.535,
2005-10,0.513,
2006-01,0.610,
2006-04,0.604,
2006-07,0.663,
2006-10,0.715,
2007-01,0.805,
2007-04,0.860,
2007-07,0.955,
2007-10,1.027,
2008-01,1.109,
2008-04,1.182,
2008-07,1.291,
2008-10,1.326,
2009-01,0.895,
2009-04,0.734,
2009-07,0.618,
2009-10,0.502,
2010-01,0.505,
2010-04,0.484,
2010-07,0.460,
2010-10,0.472,
2011-01,0.471,
2011-04,0.507,
2011-07,0.525,
2011-10,0.543,
2012-01,0.548,
2012-04,0.545,
2012-07,0.514,
2012-10,0.517,
2013-01,0.480,
2013-04,0.471,
2013-07,0.456,
2013-10,0.448,
2014-01,0.439,
2014-04,0.452,
2014-07,0.445,
