"",BBK01.OEYI02V,BBK01.OEYI02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:46,
2002-01,0.454,
2002-04,0.781,
2002-07,0.414,
2002-10,0.324,
2003-01,0.405,
2003-04,0.593,
2003-07,0.546,
2003-10,0.410,
2004-01,0.533,
2004-04,0.455,
2004-07,0.600,
2004-10,0.406,
2005-01,0.515,
2005-04,0.580,
2005-07,0.950,
2005-10,0.831,
2006-01,1.009,
2006-04,1.123,
2006-07,1.156,
2006-10,1.005,
2007-01,1.174,
2007-04,1.186,
2007-07,1.157,
2007-10,0.771,
2008-01,1.056,
2008-04,0.643,
2008-07,1.140,
2008-10,0.860,
2009-01,0.892,
2009-04,1.081,
2009-07,1.371,
2009-10,1.293,
2010-01,1.719,
2010-04,1.533,
2010-07,1.504,
2010-10,1.662,
2011-01,1.474,
2011-04,1.151,
2011-07,1.221,
2011-10,1.801,
2012-01,2.260,
2012-04,2.947,
2012-07,1.772,
2012-10,1.602,
2013-01,1.510,
2013-04,2.041,
2013-07,2.106,
2013-10,1.827,
2014-01,2.144,
2014-04,2.128,
2014-07,1.953,
