"",BBK01.OEAC31H,BBK01.OEAC31H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:50,
2002-01,23.242,
2002-04,23.698,
2002-07,23.410,
2002-10,22.635,
2003-01,21.561,
2003-04,21.288,
2003-07,20.915,
2003-10,21.058,
2004-01,20.428,
2004-04,20.654,
2004-07,20.408,
2004-10,19.841,
2005-01,19.615,
2005-04,19.411,
2005-07,19.275,
2005-10,19.341,
2006-01,19.184,
2006-04,19.430,
2006-07,20.036,
2006-10,19.790,
2007-01,19.538,
2007-04,19.797,
2007-07,20.049,
2007-10,21.067,
2008-01,21.991,
2008-04,22.031,
2008-07,21.495,
2008-10,24.874,
2009-01,24.700,
2009-04,25.459,
2009-07,26.037,
2009-10,27.014,
2010-01,25.293,
2010-04,25.321,
2010-07,24.062,
2010-10,24.129,
2011-01,24.957,
2011-04,24.611,
2011-07,29.963,
2011-10,30.723,
2012-01,28.746,
2012-04,29.364,
2012-07,29.907,
2012-10,30.891,
2013-01,31.022,
2013-04,30.835,
2013-07,31.100,
2013-10,30.907,
2014-01,31.251,
2014-04,32.473,
2014-07,32.943,
