"",BBK01.OELB15S,BBK01.OELB15S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:24,
2002-01,0.048,
2002-04,0.048,
2002-07,0.050,
2002-10,0.047,
2003-01,0.043,
2003-04,0.043,
2003-07,0.042,
2003-10,0.041,
2004-01,0.039,
2004-04,0.037,
2004-07,0.034,
2004-10,0.030,
2005-01,0.030,
2005-04,0.032,
2005-07,0.029,
2005-10,0.028,
2006-01,0.030,
2006-04,0.029,
2006-07,0.028,
2006-10,0.028,
2007-01,0.027,
2007-04,0.023,
2007-07,0.026,
2007-10,0.028,
2008-01,0.026,
2008-04,0.027,
2008-07,0.026,
2008-10,0.025,
2009-01,0.027,
2009-04,0.025,
2009-07,0.028,
2009-10,0.036,
2010-01,0.035,
2010-04,0.035,
2010-07,0.034,
2010-10,0.034,
2011-01,0.034,
2011-04,0.036,
2011-07,0.034,
2011-10,0.034,
2012-01,0.033,
2012-04,0.054,
2012-07,0.055,
2012-10,0.056,
2013-01,0.056,
2013-04,0.054,
2013-07,0.054,
2013-10,0.053,
2014-01,0.052,
2014-04,0.049,
2014-07,0.051,
