"",BBK01.OELI09T,BBK01.OELI09T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:21,
2002-01,0.265,
2002-04,0.257,
2002-07,0.262,
2002-10,0.241,
2003-01,0.220,
2003-04,0.213,
2003-07,0.215,
2003-10,0.223,
2004-01,0.229,
2004-04,0.237,
2004-07,0.242,
2004-10,0.258,
2005-01,0.271,
2005-04,0.260,
2005-07,0.250,
2005-10,0.242,
2006-01,0.236,
2006-04,0.238,
2006-07,0.240,
2006-10,0.245,
2007-01,0.251,
2007-04,0.230,
2007-07,0.233,
2007-10,0.228,
2008-01,0.208,
2008-04,0.193,
2008-07,0.189,
2008-10,0.175,
2009-01,0.156,
2009-04,0.154,
2009-07,0.145,
2009-10,0.154,
2010-01,0.165,
2010-04,0.162,
2010-07,0.156,
2010-10,0.146,
2011-01,0.130,
2011-04,0.133,
2011-07,0.145,
2011-10,0.127,
2012-01,0.139,
2012-04,0.109,
2012-07,0.091,
2012-10,0.085,
2013-01,0.080,
2013-04,0.075,
2013-07,0.080,
2013-10,0.077,
2014-01,0.088,
2014-04,0.087,
2014-07,0.083,
