"",BBK01.OEAA20M,BBK01.OEAA20M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:46,
2002-01,0.194,
2002-04,0.218,
2002-07,0.159,
2002-10,0.197,
2003-01,0.155,
2003-04,0.171,
2003-07,0.162,
2003-10,0.150,
2004-01,0.140,
2004-04,0.128,
2004-07,0.125,
2004-10,0.158,
2005-01,0.122,
2005-04,0.113,
2005-07,0.121,
2005-10,0.136,
2006-01,0.111,
2006-04,0.120,
2006-07,0.107,
2006-10,0.112,
2007-01,0.080,
2007-04,0.076,
2007-07,0.074,
2007-10,0.092,
2008-01,0.068,
2008-04,0.068,
2008-07,0.066,
2008-10,0.096,
2009-01,0.061,
2009-04,0.055,
2009-07,0.046,
2009-10,0.084,
2010-01,0.036,
2010-04,0.040,
2010-07,0.036,
2010-10,0.068,
2011-01,0.040,
2011-04,0.038,
2011-07,0.037,
2011-10,0.093,
2012-01,0.037,
2012-04,0.031,
2012-07,0.031,
2012-10,0.072,
2013-01,0.058,
2013-04,0.041,
2013-07,0.039,
2013-10,0.083,
2014-01,0.036,
2014-04,0.039,
2014-07,0.034,
