"",BBSF2.M.1.S.00000.IMM01.I.F.BGS.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.BGS.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Developed properties,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:44,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,651,
1993-05,651,
1993-06,664,
1993-07,713,
1993-08,757,
1993-09,774,
1993-10,773,
1993-11,801,
1993-12,1355,
1994-01,1388,
1994-02,1388,
1994-03,1392,
1994-04,1386,
1994-05,1392,
1994-06,1390,
1994-07,1399,
1994-08,1409,
1994-09,1439,
1994-10,1443,
1994-11,1448,
1994-12,1489,
1995-01,1490,
1995-02,1500,
1995-03,1517,
1995-04,1518,
1995-05,1538,
1995-06,1538,
1995-07,1559,
1995-08,1566,
1995-09,1580,
1995-10,1568,
1995-11,1571,
1995-12,1573,
1996-01,1585,
1996-02,1606,
1996-03,1606,
1996-04,1607,
1996-05,1635,
1996-06,1608,
1996-07,1627,
1996-08,1623,
1996-09,1636,
1996-10,1677,
1996-11,1778,
1996-12,1807,
1997-01,1804,
1997-02,1802,
1997-03,1608,
1997-04,1576,
1997-05,1584,
1997-06,1802,
1997-07,1867,
1997-08,1878,
1997-09,1866,
1997-10,1928,
1997-11,1963,
1997-12,2014,
1998-01,2220,
1998-02,2285,
1998-03,2302,
1998-04,2330,
1998-05,2397,
1998-06,2440,
1998-07,2503,
1998-08,2506,
1998-09,2515,
1998-10,2529,
1998-11,2591,
1998-12,2706,
1999-01,2886,
1999-02,2902,
1999-03,2902,
1999-04,2929,
1999-05,2961,
1999-06,2990,
1999-07,3084,
1999-08,3103,
1999-09,3193,
1999-10,3325,
1999-11,3859,
1999-12,4533,
2000-01,4683,
2000-02,4689,
2000-03,4765,
2000-04,5152,
2000-05,5290,
2000-06,5368,
2000-07,5585,
2000-08,5645,
2000-09,5732,
2000-10,5857,
2000-11,6283,
2000-12,6525,
2001-01,6610,
2001-02,6712,
2001-03,6760,
2001-04,6923,
2001-05,7069,
2001-06,7334,
2001-07,7377,
2001-08,7560,
2001-09,8062,
2001-10,8333,
2001-11,8654,
2001-12,9255,
2002-01,9496,
2002-02,9641,
2002-03,9807,
2002-04,9999,
2002-05,10367,
2002-06,10538,
2002-07,10939,
2002-08,11487,
2002-09,11764,
2002-10,12060,
2002-11,12270,
2002-12,13002,
2003-01,13280,
2003-02,13357,
2003-03,13535,
2003-04,13744,
2003-05,13924,
2003-06,14539,
2003-07,14828,
2003-08,15086,
2003-09,15298,
2003-10,15515,
2003-11,15547,
2003-12,16095,
2004-01,16379,
2004-02,16563,
2004-03,16798,
2004-04,16903,
2004-05,17001,
2004-06,17104,
2004-07,17323,
2004-08,17468,
2004-09,17545,
2004-10,17509,
2004-11,17711,
2004-12,17157,
2005-01,17282,
2005-02,17463,
2005-03,18194,
2005-04,18348,
2005-05,18384,
2005-06,18580,
2005-07,18524,
2005-08,18662,
2005-09,19048,
2005-10,19161,
2005-11,19111,
2005-12,19265,
2006-01,19620,
2006-02,19708,
2006-03,19790,
2006-04,19876,
2006-05,21174,
2006-06,21158,
2006-07,21329,
2006-08,21558,
2006-09,21604,
2006-10,21876,
2006-11,21723,
2006-12,21881,
2007-01,22212,
2007-02,22124,
2007-03,22229,
2007-04,22308,
2007-05,22199,
2007-06,22109,
2007-07,23088,
2007-08,22841,
2007-09,22873,
2007-10,22248,
2007-11,22032,
2007-12,22336,
2008-01,22379,
2008-02,21922,
2008-03,22023,
2008-04,22071,
2008-05,22305,
2008-06,22517,
2008-07,22629,
2008-08,22678,
2008-09,22836,
2008-10,23036,
2008-11,23932,
2008-12,24068,
2009-01,24333,
2009-02,24502,
2009-03,24575,
2009-04,24753,
2009-05,25236,
2009-06,25289,
2009-07,25455,
2009-08,25758,
2009-09,26008,
2009-10,27530,
2009-11,27690,
2009-12,27903,
2010-01,28413,
2010-02,28513,
2010-03,28551,
2010-04,28727,
2010-05,28742,
2010-06,28869,
2010-07,28779,
2010-08,29018,
2010-09,28940,
2010-10,29532,
2010-11,29704,
2010-12,30379,
2011-01,30585,
2011-02,30971,
2011-03,30847,
2011-04,31056,
2011-05,31111,
2011-06,31241,
2011-07,31469,
2011-08,31758,
2011-09,31832,
2011-10,31967,
2011-11,32438,
2011-12,33105,
2012-01,33254,
2012-02,33233,
2012-03,33798,
2012-04,33920,
2012-05,34025,
2012-06,34246,
2012-07,34753,
2012-08,34970,
2012-09,35169,
2012-10,35372,
2012-11,35534,
2012-12,36287,
2013-01,36659,
2013-02,36955,
2013-03,37650,
2013-04,37747,
2013-05,37788,
2013-06,37916,
2013-07,38703,
2013-08,39161,
2013-09,39365,
2013-10,39733,
2013-11,39952,
2013-12,41056,
2014-01,41541,
2014-02,41776,
2014-03,41979,
2014-04,43091,
2014-05,43236,
2014-06,43466,
2014-07,43963,
2014-08,44232,
2014-09,44448,
2014-10,44364,
2014-11,46103,
