"",BBK01.CELAN0,BBK01.CELAN0_FLAGS
"",short-term debt securities                                                  debtor: Rest of the world                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:11,
1999-01,0.5,
1999-04,-1.1,
1999-07,1.2,
1999-10,0.1,
2000-01,-1.7,
2000-04,-1.4,
2000-07,-1.6,
2000-10,3.1,
2001-01,0.0,
2001-04,1.0,
2001-07,0.4,
2001-10,-2.9,
2002-01,4.5,
2002-04,0.0,
2002-07,1.8,
2002-10,-2.4,
2003-01,1.1,
2003-04,2.7,
2003-07,-4.6,
2003-10,-3.2,
2004-01,1.2,
2004-04,5.9,
2004-07,7.2,
2004-10,-2.3,
2005-01,-3.6,
2005-04,1.2,
2005-07,5.2,
2005-10,2.2,
2006-01,-0.4,
2006-04,8.9,
2006-07,-0.4,
2006-10,-0.9,
2007-01,5.7,
2007-04,4.8,
2007-07,3.2,
2007-10,17.8,
2008-01,1.6,
2008-04,7.8,
2008-07,-0.3,
2008-10,-23.5,
2009-01,-6.3,
2009-04,-2.7,
2009-07,-1.8,
2009-10,-4.9,
2010-01,-0.1,
2010-04,0.6,
2010-07,-0.9,
2010-10,-3.7,
2011-01,2.8,
2011-04,5.7,
2011-07,3.5,
2011-10,-7.8,
2012-01,4.9,
2012-04,-1.0,
2012-07,-0.1,
2012-10,-2.1,
2013-01,3.0,
2013-04,1.1,
2013-07,-0.5,
2013-10,-1.1,
2014-01,6.8,
2014-04,-0.5,
2014-07,-3.4,
