"",BBK01.OEAH57N,BBK01.OEAH57N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:31,
2002-01,262.808,
2002-04,262.639,
2002-07,259.998,
2002-10,268.665,
2003-01,270.249,
2003-04,270.197,
2003-07,268.119,
2003-10,273.587,
2004-01,273.060,
2004-04,272.968,
2004-07,271.347,
2004-10,220.487,
2005-01,235.648,
2005-04,234.801,
2005-07,233.444,
2005-10,236.173,
2006-01,236.805,
2006-04,236.788,
2006-07,234.316,
2006-10,236.575,
2007-01,237.130,
2007-04,238.548,
2007-07,239.892,
2007-10,246.919,
2008-01,247.794,
2008-04,249.177,
2008-07,247.514,
2008-10,262.445,
2009-01,262.442,
2009-04,264.433,
2009-07,263.048,
2009-10,265.815,
2010-01,267.746,
2010-04,270.740,
2010-07,269.672,
2010-10,274.107,
2011-01,275.138,
2011-04,278.374,
2011-07,279.630,
2011-10,283.588,
2012-01,288.166,
2012-04,287.251,
2012-07,289.229,
2012-10,292.743,
2013-01,292.506,
2013-04,294.381,
2013-07,293.344,
2013-10,298.441,
2014-01,298.954,
2014-04,300.894,
2014-07,303.076,
