"",BBFN1.M.DE.N.1.L.VG.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.VG.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1996-04,1.060,
1996-05,1.052,
1996-06,1.052,
1996-07,1.053,
1996-08,1.053,
1996-09,1.048,
1996-10,1.048,
1996-11,1.048,
1996-12,1.049,
1997-01,1.050,
1997-02,1.050,
1997-03,1.051,
1997-04,1.179,
1997-05,1.180,
1997-06,1.180,
1997-07,1.181,
1997-08,1.183,
1997-09,1.183,
1997-10,1.184,
1997-11,1.187,
1997-12,1.187,
1998-01,1.226,
1998-02,1.727,
1998-03,1.739,
1998-04,1.729,
1998-05,1.741,
1998-06,1.742,
1998-07,1.743,
1998-08,1.750,
1998-09,1.746,
1998-10,1.747,
1998-11,1.753,
1998-12,1.225,
1999-01,1.235,
1999-02,1.225,
1999-03,1.265,
1999-04,1.269,
1999-05,1.265,
1999-06,1.268,
1999-07,1.267,
1999-08,1.267,
1999-09,1.235,
1999-10,1.235,
1999-11,1.235,
1999-12,1.233,
2000-01,1.240,
2000-02,1.240,
2000-03,1.171,
2000-04,1.171,
2000-05,1.167,
2000-06,1.632,
2000-07,1.632,
2000-08,1.616,
2000-09,1.622,
2000-10,1.626,
2000-11,1.628,
2000-12,1.481,
2001-01,1.328,
2001-02,1.325,
2001-03,1.332,
2001-04,1.333,
2001-05,1.329,
2001-06,1.334,
2001-07,1.332,
2001-08,1.335,
2001-09,1.291,
2001-10,1.285,
2001-11,1.283,
2001-12,1.283,
2002-01,1.278,
2002-02,1.281,
2002-03,1.281,
2002-04,1.283,
2002-05,1.285,
2002-06,1.285,
2002-07,1.269,
2002-08,1.271,
2002-09,1.272,
2002-10,1.270,
2002-11,1.268,
2002-12,1.266,
2003-01,0.545,
2003-02,0.546,
2003-03,0.544,
2003-04,0.545,
2003-05,0.547,
2003-06,0.532,
2003-07,0.528,
2003-08,0.530,
2003-09,0.529,
2003-10,0.531,
2003-11,0.499,
2003-12,0.499,
2004-01,0.491,
2004-02,0.491,
2004-03,0.493,
2004-04,0.494,
2004-05,0.477,
2004-06,0.475,
2004-07,0.445,
2004-08,0.470,
2004-09,0.471,
2004-10,0.471,
2004-11,0.473,
2004-12,0.477,
2005-01,0.059,
2005-02,0.059,
2005-03,0.059,
2005-04,0.059,
2005-05,0.059,
2005-06,0.036,
2005-07,0.036,
2005-08,0.036,
2005-09,0.033,
2005-10,0.033,
2005-11,0.033,
2005-12,0.062,
2006-01,0.062,
2006-02,0.062,
2006-03,0.077,
2006-04,0.077,
2006-05,0.077,
2006-06,0.077,
2006-07,0.077,
2006-08,0.076,
2006-09,0.033,
2006-10,0.076,
2006-11,0.075,
2006-12,0.075,
2007-01,0.075,
2007-02,0.075,
2007-03,0.072,
2007-04,0.072,
2007-05,0.072,
2007-06,0.082,
2007-07,0.097,
2007-08,0.097,
2007-09,0.097,
2007-10,0.088,
2007-11,0.091,
2007-12,0.091,
2008-01,0.077,
2008-02,0.097,
2008-03,0.104,
2008-04,0.103,
2008-05,0.103,
2008-06,0.099,
2008-07,0.099,
2008-08,0.099,
2008-09,0.130,
2008-10,0.130,
2008-11,0.134,
2008-12,0.134,
2009-01,0.135,
2009-02,0.135,
2009-03,0.135,
2009-04,0.135,
2009-05,0.135,
2009-06,0.134,
2009-07,0.131,
2009-08,0.131,
2009-09,0.131,
2009-10,0.131,
2009-11,0.127,
2009-12,0.268,
2010-01,0.268,
2010-02,0.270,
2010-03,0.264,
2010-04,0.269,
2010-05,0.272,
2010-06,0.203,
2010-07,0.204,
2010-08,0.766,
2010-09,0.766,
2010-10,0.749,
2010-11,0.749,
2010-12,0.750,
2011-01,0.719,
2011-02,0.728,
2011-03,0.786,
2011-04,0.787,
2011-05,0.785,
2011-06,0.791,
2011-07,0.843,
2011-08,0.850,
2011-09,0.888,
2011-10,0.890,
2011-11,0.890,
2011-12,0.913,
2012-01,0.905,
2012-02,0.911,
2012-03,1.134,
2012-04,1.175,
2012-05,1.178,
2012-06,1.138,
2012-07,1.148,
2012-08,1.329,
2012-09,0.969,
2012-10,0.973,
2012-11,0.973,
2012-12,0.978,
2013-01,0.988,
2013-02,0.999,
2013-03,1.001,
2013-04,1.001,
2013-05,1.001,
2013-06,0.819,
2013-07,0.819,
2013-08,0.820,
2013-09,0.971,
2013-10,0.930,
2013-11,0.939,
2013-12,1.395,
2014-01,1.394,
2014-02,1.398,
2014-03,1.375,
2014-04,1.392,
2014-05,1.509,
2014-06,1.581,
2014-07,1.567,
2014-08,1.573,
2014-09,1.504,
2014-10,1.504,
2014-11,1.485,
2014-12,1.480,
