"",BBK01.OEAN02T,BBK01.OEAN02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:17,
2002-01,7.964,
2002-04,7.780,
2002-07,7.792,
2002-10,8.062,
2003-01,8.093,
2003-04,8.082,
2003-07,8.309,
2003-10,8.610,
2004-01,8.652,
2004-04,8.605,
2004-07,8.617,
2004-10,8.867,
2005-01,9.707,
2005-04,9.689,
2005-07,9.641,
2005-10,9.861,
2006-01,9.903,
2006-04,9.854,
2006-07,9.826,
2006-10,9.992,
2007-01,10.069,
2007-04,10.072,
2007-07,10.055,
2007-10,10.279,
2008-01,10.256,
2008-04,10.188,
2008-07,10.077,
2008-10,10.496,
2009-01,10.402,
2009-04,10.217,
2009-07,10.070,
2009-10,10.187,
2010-01,10.205,
2010-04,10.120,
2010-07,10.075,
2010-10,10.307,
2011-01,10.489,
2011-04,10.376,
2011-07,10.280,
2011-10,10.394,
2012-01,10.530,
2012-04,10.443,
2012-07,10.392,
2012-10,10.300,
2013-01,10.239,
2013-04,10.318,
2013-07,10.260,
2013-10,10.216,
2014-01,10.087,
2014-04,9.997,
2014-07,9.969,
