"",BBK01.OEXB17V,BBK01.OEXB17V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:36,
2002-01,4.025,
2002-04,4.216,
2002-07,4.314,
2002-10,4.581,
2003-01,4.649,
2003-04,3.552,
2003-07,3.641,
2003-10,3.677,
2004-01,3.499,
2004-04,3.392,
2004-07,3.467,
2004-10,3.382,
2005-01,3.712,
2005-04,3.673,
2005-07,3.896,
2005-10,3.890,
2006-01,3.912,
2006-04,3.977,
2006-07,4.057,
2006-10,4.268,
2007-01,4.329,
2007-04,4.393,
2007-07,4.454,
2007-10,4.378,
2008-01,4.211,
2008-04,4.261,
2008-07,4.262,
2008-10,4.581,
2009-01,4.660,
2009-04,4.671,
2009-07,4.653,
2009-10,4.700,
2010-01,4.659,
2010-04,4.627,
2010-07,4.599,
2010-10,4.536,
2011-01,4.501,
2011-04,4.479,
2011-07,4.472,
2011-10,4.405,
2012-01,4.378,
2012-04,4.364,
2012-07,4.252,
2012-10,4.209,
2013-01,4.214,
2013-04,4.224,
2013-07,4.255,
2013-10,4.252,
2014-01,4.259,
2014-04,4.348,
2014-07,4.357,
