"",BBK01.OEXI05V,BBK01.OEXI05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:59,
2002-01,0.654,
2002-04,0.509,
2002-07,0.509,
2002-10,0.448,
2003-01,0.438,
2003-04,0.348,
2003-07,0.352,
2003-10,0.229,
2004-01,0.205,
2004-04,0.169,
2004-07,0.049,
2004-10,0.017,
2005-01,0.017,
2005-04,0.020,
2005-07,0.020,
2005-10,0.027,
2006-01,0.031,
2006-04,0.028,
2006-07,0.025,
2006-10,0.051,
2007-01,0.050,
2007-04,0.050,
2007-07,0.050,
2007-10,0.048,
2008-01,0.044,
2008-04,0.043,
2008-07,0.040,
2008-10,0.041,
2009-01,0.048,
2009-04,0.078,
2009-07,0.101,
2009-10,0.111,
2010-01,0.116,
2010-04,0.119,
2010-07,0.123,
2010-10,0.121,
2011-01,0.134,
2011-04,0.143,
2011-07,0.147,
2011-10,0.152,
2012-01,0.209,
2012-04,0.202,
2012-07,0.192,
2012-10,0.214,
2013-01,0.220,
2013-04,0.243,
2013-07,0.252,
2013-10,0.201,
2014-01,0.265,
2014-04,0.382,
2014-07,0.374,
