"",BBK01.OEBL03T,BBK01.OEBL03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:17,
2002-01,0.189,
2002-04,0.172,
2002-07,0.172,
2002-10,0.168,
2003-01,0.140,
2003-04,0.111,
2003-07,0.109,
2003-10,0.105,
2004-01,0.109,
2004-04,0.096,
2004-07,0.089,
2004-10,0.065,
2005-01,0.177,
2005-04,0.173,
2005-07,0.164,
2005-10,0.160,
2006-01,0.166,
2006-04,0.164,
2006-07,0.224,
2006-10,0.289,
2007-01,0.298,
2007-04,0.302,
2007-07,0.318,
2007-10,0.336,
2008-01,0.382,
2008-04,0.405,
2008-07,0.490,
2008-10,0.509,
2009-01,0.463,
2009-04,0.421,
2009-07,0.357,
2009-10,0.312,
2010-01,0.273,
2010-04,0.261,
2010-07,0.225,
2010-10,0.202,
2011-01,0.212,
2011-04,0.182,
2011-07,0.162,
2011-10,0.217,
2012-01,0.245,
2012-04,0.244,
2012-07,0.261,
2012-10,0.220,
2013-01,0.192,
2013-04,0.188,
2013-07,0.170,
2013-10,0.172,
2014-01,0.168,
2014-04,0.265,
2014-07,0.191,
