"",BBK01.OEXB11U,BBK01.OEXB11U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:25,
2002-01,0.132,
2002-04,0.145,
2002-07,0.143,
2002-10,0.168,
2003-01,0.162,
2003-04,0.167,
2003-07,0.172,
2003-10,0.175,
2004-01,0.197,
2004-04,0.198,
2004-07,0.205,
2004-10,0.203,
2005-01,0.196,
2005-04,0.197,
2005-07,0.195,
2005-10,0.195,
2006-01,0.198,
2006-04,0.200,
2006-07,0.209,
2006-10,0.215,
2007-01,0.215,
2007-04,0.209,
2007-07,0.202,
2007-10,0.161,
2008-01,0.157,
2008-04,0.166,
2008-07,0.158,
2008-10,0.168,
2009-01,0.169,
2009-04,0.166,
2009-07,0.164,
2009-10,0.171,
2010-01,0.177,
2010-04,0.171,
2010-07,0.182,
2010-10,0.180,
2011-01,0.182,
2011-04,0.185,
2011-07,0.185,
2011-10,0.188,
2012-01,0.192,
2012-04,0.186,
2012-07,0.182,
2012-10,0.178,
2013-01,0.165,
2013-04,0.168,
2013-07,0.160,
2013-10,0.145,
2014-01,0.129,
2014-04,0.120,
2014-07,0.107,
