"",BBK01.OELI05H,BBK01.OELI05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:50,
2002-01,4.503,
2002-04,4.539,
2002-07,4.630,
2002-10,4.654,
2003-01,4.641,
2003-04,4.591,
2003-07,4.519,
2003-10,4.516,
2004-01,4.436,
2004-04,4.361,
2004-07,4.395,
2004-10,4.624,
2005-01,4.592,
2005-04,4.541,
2005-07,4.547,
2005-10,4.521,
2006-01,4.547,
2006-04,4.519,
2006-07,4.573,
2006-10,4.591,
2007-01,4.466,
2007-04,4.363,
2007-07,4.327,
2007-10,4.247,
2008-01,4.105,
2008-04,3.948,
2008-07,3.871,
2008-10,3.789,
2009-01,3.554,
2009-04,3.472,
2009-07,3.417,
2009-10,3.528,
2010-01,3.574,
2010-04,3.580,
2010-07,3.596,
2010-10,3.543,
2011-01,3.535,
2011-04,3.602,
2011-07,3.573,
2011-10,3.493,
2012-01,3.316,
2012-04,3.171,
2012-07,3.005,
2012-10,2.837,
2013-01,2.627,
2013-04,2.438,
2013-07,2.254,
2013-10,2.163,
2014-01,2.968,
2014-04,2.877,
2014-07,2.771,
