"",BBK01.BQ9065,BBK01.BQ9065_FLAGS
"",General government debt as defined in the Maastricht Treaty - Germany - central government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:20,
2000-01,811384,
2000-04,808592,
2000-07,817438,
2000-10,798220,
2001-01,783299,
2001-04,774293,
2001-07,781301,
2001-10,782030,
2002-01,798754,
2002-04,794510,
2002-07,805629,
2002-10,804073,
2003-01,824366,
2003-04,828970,
2003-07,845129,
2003-10,851612,
2004-01,885866,
2004-04,887259,
2004-07,897730,
2004-10,893026,
2005-01,914290,
2005-04,923295,
2005-07,938574,
2005-10,938841,
2006-01,950770,
2006-04,961931,
2006-07,979451,
2006-10,974244,
2007-01,978118,
2007-04,1000397,
2007-07,980283,
2007-10,981274,
2008-01,992269,
2008-04,1000240,
2008-07,998469,
2008-10,1010798,
2009-01,1031343,
2009-04,1078038,
2009-07,1080238,
2009-10,1079693,
2010-01,1092744,Provisional value
2010-04,1103490,Provisional value
2010-07,1121157,Provisional value
2010-10,1318428,Provisional value
2011-01,1322695,Provisional value
2011-04,1326049,Provisional value
2011-07,1338526,Provisional value
2011-10,1327368,Provisional value
2012-01,1348172,Provisional value
2012-04,1377059,Provisional value
2012-07,1360695,Provisional value
2012-10,1372336,Provisional value
2013-01,1372523,Provisional value
2013-04,1380301,Provisional value
2013-07,1365751,Provisional value
2013-10,1376073,Provisional value
2014-01,1373022,Provisional value
2014-04,1381384,Provisional value
2014-07,1377376,Provisional value
