"",BBSF2.M.1.T.00000.DAC01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DAC01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:18,
2009-09,82,
2009-10,81,
2009-11,116,
2009-12,133,
2010-01,129,
2010-02,131,
2010-03,139,
2010-04,136,
2010-05,132,
2010-06,136,
2010-07,140,
2010-08,143,
2010-09,150,
2010-10,157,
2010-11,159,
2010-12,166,
2011-01,165,
2011-02,168,
2011-03,171,
2011-04,176,
2011-05,168,
2011-06,167,
2011-07,193,
2011-08,147,
2011-09,143,
2011-10,132,
2011-11,125,
2011-12,153,
2012-01,290,
2012-02,295,
2012-03,314,
2012-04,322,
2012-05,320,
2012-06,332,
2012-07,370,
2012-08,378,
2012-09,439,
2012-10,428,
2012-11,431,
2012-12,446,
2013-01,443,
2013-02,446,
2013-03,473,
2013-04,471,
2013-05,473,
2013-06,444,
2013-07,470,
2013-08,470,
2013-09,484,
2013-10,548,
2013-11,588,
2013-12,592,
2014-01,582,
2014-02,599,
2014-03,637,
2014-04,628,
2014-05,677,
2014-06,648,
2014-07,702,
2014-08,655,
2014-09,611,
2014-10,608,
2014-11,643,
